cost1_length,cost2_smoothness
121,0.50236
121,0.476158
125,0.39229
126,0.444053
121,0.470679
125,0.507922
125,0.519608
125.5,0.425558
123.5,0.517879
121,0.496871
125,0.381693
120,0.517461
