cost1_length,cost2_smoothness
219.91,4.20204
210.011,3.91486
181.726,3.81334
211.425,3.24955
246.073,2.73053
210.011,2.20292
261.63,1.62283
251.73,1.26194
255.266,1.01441
276.479,0.543242
152.735,0.0538921
