cost1_length,cost2_smoothness
4.5,0.0128861
5.5,0.0665182
4.5,0.108653
6.5,0.126867
5,0.0649063
4,0.114185
5,0.00454077
4,0.168663
6,0.11709
5,0.00325831
3.5,0.0917761
5,0.00454077
4,0.104884
5,0.108657
5.5,0.0627897
