Length, Risk, TravelTime, Paths.x, Paths.y, Cost, Weight
25.1902,167.178,2.22843,"1;1.05627;1.16963;1.33613;2.22054;2.91921;3.70902;4.60149;5.27424;6.03266;6.88021;7.52494;8.46255;8.52025;9.46989;10.2407;11.1152;11.7407;12.2497;13.0576;13.7563;14.505;15.3823;16.1736;16.5773;17.213;18.1623;19.1395;19.9488;20.491;21.0232;20.9692;21.0041;20.9619;21","15;14.5912;13.7599;12.9667;12.8138;12.6091;12.2841;11.856;11.404;11.2993;10.9879;10.6421;10.298;10.2897;9.99995;9.92246;9.86941;9.97936;10.0788;10.3018;10.5677;10.8881;11.2658;11.5337;11.667;12.0416;12.3369;12.4251;12.6342;12.7129;12.6606;13.4223;14.0571;14.4398;15",2.22843,"0;0;1"
30.4203,3.27334,2.37085,"1;1.39211;1.73013;1.75002;2.06652;2.70906;3.12636;3.62103;3.99231;4.34435;4.71276;5.12876;5.73063;6.09693;6.49827;7.09639;7.32967;8.20957;9.1123;9.84028;10.7894;11.4279;12.2448;12.4656;13.3985;14.1623;15.0467;15.6883;16.5247;17.2563;17.8751;18.424;18.8394;19.4408;19.7417;19.7587;20.1005;20.5226;20.8082;20.9421;20.9547;20.9052;21","15;14.4029;13.6631;13.0717;12.6322;12.1943;11.7707;11.2751;10.7009;10.1717;9.28933;8.55284;7.76529;7.42269;7.09621;6.72159;6.55807;6.19556;5.92415;5.75225;5.4913;5.41339;5.63781;5.69635;5.80957;6.09955;6.44609;6.54055;6.83087;7.19978;7.48767;8.07013;8.56533;9.05637;9.81788;9.8675;10.7229;11.5339;12.1921;12.9424;13.8615;14.4031;15",2.55134,"0;0.2;0.8"
30.3634,3.07353,2.47994,"1;1.65681;2.12067;2.3212;3.03794;3.38518;3.69047;3.72643;4.07245;4.51345;4.83017;5.35039;6.06618;6.85648;7.15246;8.0114;8.64676;9.46809;10.3238;11.0981;11.6728;12.6402;13.4775;13.9089;14.6283;15.16;15.6456;16.3515;16.7826;17.4688;18.0313;18.5167;18.8031;18.9645;19.5513;19.9983;20.3809;20.4918;20.8068;20.8712;21.0207;20.8935;21","15;14.2459;13.4118;12.9745;12.3233;11.8697;11.4089;10.596;9.8331;9.06349;8.23876;7.58485;7.40175;6.94654;6.76334;6.49811;6.29694;6.02759;6.02061;5.95469;6.00549;6.03711;6.04922;5.90601;6.03469;6.23928;6.4985;6.80278;6.92875;7.48168;7.86578;8.35107;8.89574;9.13511;9.79973;10.5377;11.1314;11.7752;12.3183;12.8983;13.6435;14.2205;15",2.71737,"0;0.4;0.6"
31.5274,2.90759,2.61449,"1;1.28414;2.03239;2.41463;2.57733;2.92252;3.17217;3.36764;3.8873;4.18456;4.43521;4.8147;4.96224;5.51551;6.02473;6.79967;7.37235;8.23028;8.52149;9.34051;10.0672;10.837;11.7151;12.591;13.5007;14.1176;14.8651;15.8344;16.5989;17.2993;17.7119;18.2851;19.2225;19.8112;20.0995;20.5366;20.8188;20.7879;20.8085;20.7629;20.8845;20.9395;20.9843;21","15;14.8795;14.2918;13.6236;13.047;12.5122;12.0947;11.653;10.8978;10.0609;9.56264;8.65295;8.30485;7.61398;6.9969;6.63818;6.37003;5.97828;5.91175;5.51813;5.53629;5.56236;5.56738;5.34516;5.19768;5.37131;5.69296;5.77261;6.17414;6.62612;7.12433;7.80187;8.06897;8.75935;9.20205;10.0267;10.8198;11.2638;11.8324;12.3133;13.0891;13.4111;14.129;15",2.79035,"0;0.6;0.4"
32.0576,2.84044,2.82105,"1;1.35857;2.16584;2.71266;3.08379;3.28111;3.73803;4.09584;4.22082;4.40421;4.84933;5.08156;5.54163;5.90691;6.61753;7.28271;8.0138;8.4369;9.14948;9.74902;10.5218;11.4346;12.4047;13.0453;13.9567;14.6751;15.6137;16.4375;16.9416;17.6005;18.4081;18.9793;19.5178;19.7327;20.3657;20.9184;21.3751;21.4637;21.4863;21.4529;21.4496;21.3934;21.2994;21","15;14.9067;14.3667;13.7522;13.187;12.7472;11.895;11.2951;10.4822;9.76032;9.03028;8.72075;8.14644;7.37077;6.6672;6.32489;6.14802;6.12338;6.05946;5.82839;5.59063;5.41323;5.42073;5.37384;5.17445;5.42884;5.52465;5.76853;6.07402;6.39573;6.96327;7.35721;8.13767;8.33486;9.08362;9.68856;10.541;11.1366;12.0451;12.2509;13.0689;13.4429;14.0527;15",2.83656,"0;0.8;0.2"
32.1077,1.78057,16.0539,"1;1.55408;2.43957;3.12525;3.63103;4.18311;4.39823;4.95774;5.24342;5.85939;6.36764;6.65026;7.20341;7.57232;8.09467;8.56659;8.97127;9.48142;10.1655;10.6288;11.3655;12.0207;12.88;13.5914;14.3008;15.0284;15.7458;16.5357;17.4384;18.1659;18.913;19.191;19.7914;19.893;20.5336;20.6883;20.936;21.1259;21.4288;21.3834;21.4106;21.4124;21.5159;21.2971;21.3188;21","15;15.0275;15.4546;16.1076;16.7007;17.3987;17.5816;18.2841;18.6824;19.4616;20.2916;20.5773;21.3504;22.073;22.8039;23.2742;23.4638;23.8694;24.2267;24.5686;24.8362;25.2902;25.1642;25.2154;25.0872;24.9632;24.7361;24.4635;24.2793;23.925;23.3058;22.8723;22.3212;22.2882;21.5744;21.211;20.3581;19.6004;18.7718;18.2872;17.5805;17.5013;16.7706;16.3169;15.8699;15",1.78057,"0;1;0"
24.0657,142.969,2.37352,"1;1.30079;1.53847;1.77047;1.99212;2.64655;3.42109;4.24906;4.82132;5.65328;6.19172;6.91824;7.45949;8.07296;9.03982;9.64445;10.1656;10.6397;11.3691;12.0442;12.9036;13.8182;14.3283;15.0889;15.9162;16.6908;17.5313;18.2313;18.781;19.6274;20.2776;20.3194;20.4059;20.6328;21","15;14.3902;14.0387;13.2865;12.9335;12.6483;12.2407;11.821;11.5816;11.3098;11.1376;10.9057;10.7347;10.489;10.3296;10.1385;9.99176;9.8876;9.86377;9.8364;9.99139;10.344;10.7759;11.1411;11.4629;11.5234;11.6806;11.959;12.0525;12.4251;12.9348;13.0276;13.3683;14.1802;15",6.71195,"0.2;0;0.8"
27.0871,4.04193,2.42568,"1;1.49149;1.74208;1.81623;2.23493;2.73198;3.3708;3.69874;4.00668;4.75355;5.2277;5.7039;6.28304;7.12133;7.78365;8.22465;8.7775;9.61958;10.3538;10.7043;11.669;12.6113;13.0523;13.9167;14.8714;15.1579;15.82;16.5044;17.1216;17.2075;17.8496;18.1539;18.9502;19.4118;20.0505;20.5683;20.877;21.1934;20.9808;21","15;14.3109;13.665;13.3193;12.4655;12.1268;11.7053;11.6075;11.4013;10.815;10.326;9.83754;9.20615;8.80265;8.41445;8.109;7.81748;7.4514;7.49739;7.50955;7.55859;7.6066;7.88132;8.22856;8.40853;8.6635;8.89733;9.45966;10.1688;10.2378;10.8756;11.102;11.4896;11.7601;12.5113;12.6807;13.1166;13.9988;14.2989;15",7.68123,"0.2;0.2;0.6"
27.0885,3.39756,2.81347,"1;1.78859;2.25679;2.70518;2.96455;3.41741;3.86366;4.27997;4.71069;5.00871;5.62868;6.36422;6.91661;7.27717;8.12644;8.60973;9.07912;9.15749;10.0673;10.9911;11.416;12.3692;12.7647;13.6669;13.7552;14.4938;14.8199;15.5966;16.1907;16.4358;16.9294;17.5257;18.0255;18.5787;19.1984;19.5656;20.1327;20.3263;20.6856;21","15;14.8648;14.3877;13.6781;12.8419;11.9615;11.2517;10.7459;10.406;9.97418;9.42845;8.86095;8.40302;8.08084;7.77269;7.6428;7.35239;7.30991;7.08196;7.00702;6.99769;7.21783;7.33558;7.62472;7.64261;8.21254;8.41815;8.80406;9.30517;9.55716;10.0737;10.7041;11.0218;11.4522;11.7629;12.2335;12.9097;13.4786;14.2011;15",7.9021,"0.2;0.4;0.4"
27.0712,3.33872,2.93688,"1;1.38271;2.0337;2.34766;2.83394;3.39529;3.77739;4.35008;4.46547;4.98069;5.3409;5.91091;6.69044;7.35117;8.13402;8.91118;9.71755;10.4288;10.8451;11.813;12.6537;13.1274;13.6753;14.5328;15.3307;15.8492;16.2871;16.8802;17.5424;17.8641;18.4877;19.0796;19.6771;20.0207;20.5749;21","15;14.8408;14.3962;14.1752;13.5829;12.9071;12.0769;11.3701;11.1865;10.5758;9.93793;9.44593;9.02947;8.56269;8.03564;7.67832;7.17947;7.00022;7.03384;6.92841;7.10704;7.20609;7.33679;7.4202;7.71411;8.07083;8.78168;9.41681;9.99618;10.5742;11.2933;11.9504;12.6936;13.4506;14.2384;15",8.00485,"0.2;0.6;0.2"
