Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
119,0.0400073,0.959993,0, 30.964,0.66042,15.482, 0.00787775
120,0.0423289,0.957671,0, 30.6157,0.675869,15.3078, 0.00784258
121,0.043791,0.956209,0, 30.4572,0.683216,0.318101, 0.00782044
123,0.0257481,0.974252,0, 33.4819,0.576961,0.358771, 0.00779001
124,0.0257845,0.974215,0, 33.6047,0.573999,0.355675, 0.00771833
125,0.0329997,0.967,0, 31.9687,0.622744,15.9844, 0.00767886
126,0.0150825,0.984917,0, 37.4332,0.497494,0.389175, 0.00764757
127,0.0249931,0.975007,0, 33.7313,0.570621,16.8656, 0.00772993
130,0.0373962,0.962604,0, 31.4683,0.640754,0.344541, 0.00761148
131,0.0391209,0.960879,0, 31.04,0.657535,0.36399, 0.00758505
132,0.988071,0.0119292,0, 21.2844,17.8887,0.301651, 0.00758433
135,0.988196,0.0118043,0, 21.2677,19.1389,10.6339, 0.00734143
136,0.9882,0.0117997,0, 21.267,19.2132,0.257088, 0.00733859
137,0.989406,0.0105942,0, 21.2415,21.1817,0.246169, 0.00673554
138,0.987806,0.00972824,0.00246571, 21.2762,18.325,0.363044, 0.00645934
139,0.0127338,0.987266,0, 38.6237,0.480726,0.402427, 0.00637248
140,0.0208794,0.979121,0, 34.8933,0.543497,0.372931, 0.00681751
142,0.0126179,0.987382,0, 38.9251,0.476683,0.400362, 0.00636937
143,0.0223291,0.977671,0, 34.5929,0.54998,17.2965, 0.00750171
144,0.0292563,0.970744,0, 32.7255,0.598326,16.3627, 0.00739486
146,0.0192562,0.980744,0, 35.5874,0.529691,17.7937, 0.00621614
147,0.991595,0.00670545,0.00169955, 21.1776,29.2217,0.258686, 0.00621423
148,0.745927,0.202698,0.0513755, 22.116,4.13336,0.312715, 0.0129455
151,0.0187734,0.981227,0, 35.7508,0.526224,0.383447, 0.00616095
152,0.0231735,0.976827,0, 34.2474,0.557707,0.366207, 0.00615598
153,0.0254721,0.974528,0, 33.5734,0.574722,16.7867, 0.00612069
154,0.0227281,0.977272,0, 34.3487,0.555687,17.1744, 0.00610104
155,0.0267977,0.973202,0, 33.3162,0.581544,16.6581, 0.00610033
156,0.0273435,0.972657,0, 33.0091,0.590511,0.348306, 0.00609195
159,0.990978,0.00719778,0.00182434, 21.1922,27.0197,0.228253, 0.00573511
162,0.991202,0.00879835,0, 21.2221,23.5239,0.237126, 0.00559379
163,0.552561,0.447439,0, 22.9125,2.43464,0.299506, 0.0055275
165,0.0108286,0.989171,0, 39.7903,0.466784,0.421468, 0.00537128
166,0.0180741,0.981926,0, 36.2297,0.517336,0.386818, 0.00623429
167,0.0222229,0.977777,0, 34.6305,0.549165,0.402163, 0.00617058
