Length, Risk, TravelTime, Paths.x, Paths.y, Cost, Weight
28.577,3.46533,3.35001,"1;1.1793;1.88102;2.37557;2.94988;2.91981;3.35975;3.65252;4.03419;4.46583;4.75224;5.14039;5.45862;6.19858;6.94072;7.67758;8.50873;9.35525;10.2654;10.7797;11.7077;12.2911;13.1346;13.5702;14.32;15.2793;15.5273;16.1992;16.7869;17.3547;17.6243;17.8027;18.0481;18.6039;18.9731;19.1782;19.759;20.0066;21","15;14.9582;14.5269;13.9814;13.1869;13.1284;12.3644;11.69;11.0803;10.4961;10.0121;9.27625;8.92767;8.38007;7.95917;7.67014;7.59749;7.06841;6.82106;6.63016;6.5621;6.33115;6.67851;6.83307;7.11975;7.35535;7.66498;8.18799;8.63725;9.42245;10.3365;11.1516;11.7089;12.4106;13.0454;13.4984;14.1515;15.0147;15",8.48766,"0.2;0.8;0"
24.6559,85.0283,2.50926,"1;1.42374;1.6566;2.08019;2.51673;3.36868;3.86436;4.65844;5.12852;5.85097;6.3558;7.24497;8.01628;8.62925;9.12685;9.68732;10.5833;11.455;12.021;12.9512;13.7301;14.0913;14.6189;15.527;16.3964;16.5091;17.4347;17.9232;18.8377;19.043;19.8859;20.2657;20.6872;20.7663;21","15;14.6075;14.0527;13.1701;12.6995;12.4807;12.3354;11.8215;11.1198;11.0827;10.9856;10.7103;10.2694;10.1658;9.94469;9.91579;9.61598;9.91773;9.97364;10.1621;10.6957;11.1048;11.2939;11.6352;11.9833;12.0129;12.0185;12.1675;11.8948;12.3233;12.6579;13.1684;13.7689;14.4581;15",11.3679,"0.4;0;0.6"
26.7592,4.25977,2.68125,"1;1.364;1.83761;2.3142;2.76636;3.5108;4.34958;4.95894;5.64197;5.96776;6.03265;7.00202;7.76194;8.58948;9.45047;10.0679;10.5005;11.2993;12.2734;12.4721;13.3469;13.4414;14.3511;15.1451;15.9247;16.3904;16.9187;17.1877;17.8323;18.1974;18.6266;18.7692;19.5988;20.1646;20.1788;20.4315;21","15;14.7195;14.1464;13.2987;12.5344;12.0425;11.5833;10.9912;10.4225;9.83714;9.62911;9.48481;8.9484;8.55286;8.18148;7.5968;7.55753;7.3969;7.37263;7.37864;7.68322;7.71606;8.0171;8.31045;8.59976;8.91545;9.69539;9.96055;10.4583;10.8609;11.4743;12.1795;12.6565;13.3186;13.8637;14.4893;15",12.6281,"0.4;0.2;0.4"
25.7696,4.76047,3.01064,"1;1.45156;2.13135;2.74487;3.18174;3.33508;4.08527;4.28422;4.80886;5.55651;5.9735;6.38356;6.90353;7.76402;8.46662;9.39997;10.3531;11.299;11.7903;12.468;13.3992;13.8503;14.3443;15.0373;15.4268;15.8961;16.6397;17.3635;17.6333;18.3595;18.8538;19.1571;19.5619;19.7894;20.2665;20.9598;21","15;14.5981;13.9865;13.5201;13.0042;12.3963;11.8441;11.7088;11.0133;10.4844;10.0216;9.65208;9.43873;9.00896;8.61577;8.33777;8.24648;8.09856;8.13326;8.24568;8.42722;8.57106;8.73893;9.04073;9.17989;9.79408;10.2691;10.4736;10.6952;10.9661;11.74;12.3054;13.0425;13.3698;13.8106;14.2955;15",12.8142,"0.4;0.4;0.2"
21.0578,6.75671,10.5289,"1;1.29985;2.25453;3.11488;3.76189;4.10285;4.98517;5.47214;6.05982;6.79476;7.69528;8.14906;8.91509;9.37008;10.116;10.984;11.4523;12.0627;12.4926;13.2604;13.9898;14.6926;15.0592;15.9444;16.2346;17.1229;17.8002;18.623;19.1296;19.7564;20.3401;21","15;15.1186;15.1282;15.4481;15.6176;15.6529;16.1235;16.4423;16.8474;16.9574;17.0579;17.13;16.9898;17.0631;17.2191;17.4209;17.4674;17.4325;17.2686;17.2804;17.2809;17.1775;17.2296;17.002;16.9617;16.5699;16.1711;15.919;15.8089;15.7518;15.4896;15",12.4772,"0.4;0.6;0"
20.9459,8.16336,10.4729,"1;1.81332;2.54238;3.35188;4.22488;5.14786;5.6316;6.33533;6.80854;7.67246;8.606;9.11766;9.87849;10.8318;11.3467;12.3231;13.2216;13.8479;14.6477;15.1866;15.9607;16.6776;17.5445;18.3281;18.9853;19.4553;20.1292;21","15;15.1527;15.3052;15.5418;15.7429;16.1067;16.258;16.7027;16.7856;16.8902;17.12;17.2392;17.3406;17.0925;16.9133;16.7381;16.6347;16.5732;16.385;16.4169;16.0111;15.7117;15.4807;14.9139;14.7089;14.7323;14.674;15",16.7567,"0.6;0;0.4"
21.1889,7.3889,10.5944,"1;1.75624;2.44667;2.88166;3.56407;4.47972;5.08984;5.55854;6.17935;7.14239;8.07657;9.07115;9.3257;10.3119;11.2099;11.8535;12.7015;13.3537;14.0042;14.7923;15.3964;15.7396;16.7333;17.6196;18.4887;19.2624;19.9323;20.7324;21","15;15.4566;15.7939;16.0864;16.4264;16.7575;17.2001;17.2314;17.2768;17.2951;17.2953;17.2611;17.255;17.2494;17.1562;17.2143;16.9357;16.8733;16.5587;16.317;15.5685;15.5042;15.5709;15.58;15.2696;15.1931;15.0912;14.9566;15",16.31,"0.6;0.2;0.2"
21.2519,6.82997,10.626,"1;1.87602;2.51146;3.34212;3.68727;4.24616;4.89171;5.54093;6.32484;7.06626;7.61935;8.54516;9.36235;10.1144;10.8809;11.7529;11.9702;12.8388;13.2599;14.1018;14.7187;15.3837;15.9191;16.7119;17.57;18.2355;19.0683;19.8944;20.5101;21","15;15.3362;15.9394;16.4686;16.8158;17.0122;17.162;17.1802;17.0686;17.0805;16.8953;16.9556;17.0934;17.3511;17.4554;17.5763;17.6066;17.5418;17.4518;17.2411;16.8574;16.5601;16.3355;15.9573;15.5749;15.3702;15.336;15.1736;15.1202;15",15.4831,"0.6;0.4;0"
20.7213,123.57,10.3606,"1;1.99938;2.56398;3.1201;3.686;4.20217;5.19288;6.15708;6.87752;7.36728;7.92499;8.67825;9.56294;9.99238;10.8658;11.7739;12.3995;12.9636;13.7227;14.5641;15.4005;15.9911;16.5267;17.4222;17.8425;18.6357;19.1613;20.1003;21","15;14.9647;14.9357;14.9354;14.9131;14.8838;14.7866;14.731;15.1882;15.4622;15.6479;15.6232;15.9357;16.1034;16.1187;16.0894;16.017;15.853;15.5764;15.5268;15.3355;14.9622;15.0076;14.6198;14.659;14.4324;14.5379;14.7472;15",18.6491,"0.8;0;0.2"
20.6897,7.59114,10.3448,"1;1.98157;2.76001;3.43801;4.33696;4.89259;5.7829;6.58828;7.20621;7.99325;8.88798;9.83149;10.3283;11.2691;11.8604;12.6102;13.003;13.9599;14.6628;15.3579;16.2895;16.9777;17.7393;18.6147;19.4409;20.4196;21","15;15.1911;15.1363;15.2563;15.4331;15.4921;15.887;16.2582;16.5189;16.6293;16.9065;17.0668;17.0989;17.0481;16.9986;17.0401;16.9972;17.0716;16.9875;16.7235;16.5553;16.4052;16.1275;15.7215;15.327;15.1217;15",18.07,"0.8;0.2;0"
20.5119,48.3469,10.256,"1;1.7314;2.184;3.12919;3.89909;4.54235;5.409;6.24636;7.09571;7.34318;8.15773;8.62732;9.45205;10.3017;10.6887;11.5703;11.8973;12.6287;13.475;14.2424;14.9124;15.2796;15.9213;16.505;17.127;18.0375;18.7354;19.648;20.1051;21","15;15.0605;15.1006;15.1537;15.0816;15.2932;15.2913;15.4987;15.3178;15.3365;15.5486;15.811;16;16.0827;16.2045;16.6129;16.5586;16.3002;16.0607;15.8583;15.6308;15.5388;15.4733;15.3766;15.3434;15.2895;15.2374;15.156;15.0295;15",20.5119,"1;0;0"
