Length, Risk, TravelTime, Paths.x, Paths.y, Cost, Weight
24.2442,2.59638,2.20836,"1;1.05968;1.15147;1.17303;1.65163;2.28958;3.17978;3.69135;4.58275;5.25795;5.9684;6.87823;7.87036;8.62514;9.54217;10.5015;10.9739;11.9131;12.833;13.7138;14.0177;15.0087;15.8402;16.721;17.6173;18.2653;19.1988;19.8303;20.5083;21.0332;21.0589;21.0844;21","15;14.2081;13.3337;12.9481;12.9163;12.8855;12.8231;12.7742;12.8226;12.701;12.6188;12.5334;12.4891;12.4923;12.3516;12.3212;12.333;12.4716;12.4436;12.188;12.1275;12.2183;12.3227;12.367;12.3931;12.3989;12.5363;12.6393;12.7042;12.819;13.2087;14.0294;15",2.20836,"0;0;1"
23.4821,1.79092,2.27025,"1;1.3517;1.53275;1.72397;2.31691;2.67221;3.65056;4.32097;5.17368;6.17113;6.85628;7.36856;7.70436;8.70176;9.21235;10.1812;11.0083;11.9595;12.8635;13.3911;14.1786;15.1298;15.6569;16.3735;17.0168;17.6884;18.5538;19.1599;19.9764;20.685;20.7389;20.8575;21","15;14.0639;13.6232;12.9757;12.9137;12.8525;12.8904;12.6458;12.6542;12.6096;12.7077;12.7004;12.6998;12.769;12.6782;12.7374;12.8388;12.8038;12.9768;12.9338;12.8614;12.8205;12.9833;12.8495;12.8314;12.8047;12.8281;12.9101;12.8014;12.8114;13.6486;14.1105;15",2.17439,"0;0.2;0.8"
23.7367,1.46848,2.37911,"1;1.56685;1.83312;1.87281;2.07975;2.28711;3.06514;3.35144;4.0912;5.05083;5.72482;6.31543;6.72232;7.69451;8.2159;8.94289;9.7825;10.3043;11.1907;11.8304;12.5009;13.2067;13.9669;14.862;15.7008;16.5318;17.015;17.8662;18.1056;19.0193;19.4733;19.8333;20.6696;20.7831;20.8318;21.0601;21","15;14.3529;13.7543;13.6284;12.9682;12.9737;12.7531;12.5981;12.6433;12.6195;12.8012;12.6781;12.627;12.5859;12.4909;12.3375;12.299;12.2449;12.1692;12.3643;12.5272;12.5456;12.6752;12.6303;12.7289;12.8099;12.8889;12.8748;12.7764;12.7744;12.6658;12.5735;12.5283;13.3351;14.2215;14.9398;15",2.01486,"0;0.4;0.6"
23.7965,1.25204,2.56417,"1;1.1739;1.65046;2.3135;2.37607;2.51969;3.4536;4.15635;4.73842;5.33982;5.83402;6.66372;7.26715;8.19851;8.55741;9.39195;10.0716;10.9289;11.727;12.2988;13.0128;13.7732;14.6434;15.4014;16.2544;16.4614;17.2828;18.0737;18.9598;19.6812;20.6241;21.1412;21.1583;21.2183;21","15;14.9403;14.6757;14.0567;13.5545;12.9788;12.7876;12.7292;12.7042;12.6915;12.7583;12.7666;12.696;12.8231;12.9676;12.8617;12.9875;12.7025;12.7558;12.8888;12.9977;12.9894;12.8836;12.8679;12.7479;12.836;12.8333;12.8253;12.5681;12.5608;12.5234;13.0106;13.3674;14.0975;15",1.77689,"0;0.6;0.4"
23.1919,1.13551,2.76001,"1;1.87489;2.53561;2.91407;3.34018;4.32651;5.08002;6.01515;6.41903;7.12059;7.56495;8.32058;8.96017;9.86054;10.053;10.995;11.6845;12.1681;12.7761;13.7037;14.2429;15.0163;15.9139;16.2623;17.1895;18.0367;18.6448;19.5976;20.529;20.9201;20.9775;21.0468;21","15;14.681;14.1811;13.6177;12.8673;12.7866;12.7825;12.6421;12.552;12.4981;12.5186;12.5502;12.5201;12.5709;12.579;12.5943;12.7396;12.8085;12.7955;12.9107;12.9183;12.9366;12.7034;12.6247;12.3665;12.67;12.6386;12.7007;12.6762;13.0036;13.4496;14.1047;15",1.46041,"0;0.8;0.2"
20.8319,0.964715,10.4159,"1;1.48459;1.799;2.50713;3.06178;3.81754;4.39851;5.09438;6.07228;6.91027;7.79841;8.76864;9.19979;10.0585;10.8814;11.2593;12.1668;13.0808;13.7826;14.4419;15.0544;15.7217;16.1472;16.9925;17.4042;18.3238;18.9095;19.8556;20.536;21","15;14.9937;14.988;15.0089;14.9267;14.7422;14.7251;14.8286;14.7374;14.6863;14.9071;14.8831;15.2141;15.4639;15.5946;15.5166;15.8169;15.9452;16.1379;16.2054;16.2969;16.4066;16.5661;16.583;16.5661;16.4761;16.2751;16.0078;15.5157;15",0.964715,"0;1;0"
22.6254,1.61188,2.43688,"1;1.42251;1.62336;2.02054;2.1619;2.95551;3.50927;4.35031;4.68555;5.59995;6.16281;7.08379;7.93441;8.89288;9.1985;10.0523;10.7306;11.5815;12.4469;13.0819;13.6869;14.1613;14.7118;15.5139;16.2447;16.7513;17.3357;18.3091;19.108;20.0292;20.2649;20.5133;21","15;14.1203;13.6468;13.051;12.9339;12.8334;12.7067;12.5885;12.5998;12.7322;12.7396;12.7529;12.7541;12.7351;12.7363;12.7468;12.6883;12.7229;12.8512;12.9552;12.8979;12.891;12.8731;12.7628;12.8138;12.8433;12.7683;12.7793;12.9718;12.9605;13.6428;14.1745;15",6.47458,"0.2;0;0.8"
22.3771,1.22051,2.73414,"1;1.43742;2.00626;2.64281;2.76843;2.87188;3.32227;4.06989;4.85648;5.20539;5.92965;6.23278;7.21915;8.15859;9.05058;9.84422;10.732;11.1571;12.0865;12.8723;13.6982;14.3067;15.2394;16.1008;16.9739;17.7163;18.5583;19.5345;19.9392;20.2697;20.4898;21","15;14.8278;14.1061;13.4136;13.1395;12.9564;12.9421;12.8376;12.8108;12.784;12.7185;12.7588;12.6106;12.7253;12.8335;12.7692;12.6118;12.5971;12.4914;12.4099;12.4306;12.2856;12.1824;12.2635;12.4102;12.5186;12.6762;12.7634;13.0497;13.468;14.1952;15",6.36001,"0.2;0.2;0.6"
22.2821,1.12981,2.92999,"1;1.46276;2.14645;2.8696;3.37312;3.49501;4.23139;4.41049;5.30694;6.209;6.83534;7.33317;8.13285;9.10576;9.85302;10.6273;11.2596;12.2449;12.9391;13.627;14.1222;15.0507;15.8075;16.6427;17.5594;18.5048;19.3515;19.9483;20.1349;20.5536;20.9681;21","15;14.741;14.4168;13.8404;13.1382;12.961;12.9931;12.9663;12.7865;12.9853;12.9509;12.8429;12.82;12.6526;12.5452;12.6207;12.4722;12.4457;12.3446;12.3568;12.2896;12.2682;12.2838;12.4362;12.5906;12.5852;12.867;12.9344;13.4472;14.1166;14.7087;15",6.08033,"0.2;0.4;0.4"
21.88,1.11914,3.12284,"1;1.54312;1.88319;2.42964;2.76668;2.84872;3.24101;3.40879;4.26297;4.83013;5.5561;6.20191;7.09744;7.8959;8.84952;9.75249;10.7468;11.6259;12.4357;13.2097;14.1727;14.6487;15.4887;16.2467;16.9264;17.3574;17.9916;18.9804;19.3047;19.7341;20.2263;20.7526;21","15;14.7388;14.566;14.2391;13.9109;13.8303;13.4078;12.9962;12.9508;12.8312;12.8993;12.8639;12.6175;12.5097;12.405;12.4987;12.5067;12.5081;12.5147;12.6397;12.568;12.5341;12.6882;12.6706;12.7535;12.7422;12.85;12.8377;13.0871;13.4949;14.0716;14.747;15",5.67205,"0.2;0.6;0.2"
