Length, Risk, TravelTime, Paths.x, Paths.y , Fitness, Weights
54.8966,0.471001,2.81917,"1;0.881986;0.636498;0.450471;0.22787;0.130553;0.0234122;-0.0833782;-0.22735;-0.595636;-0.943097;-1.27851;-1.38708;-1.6634;-1.72344;-1.95758;-2.11224;-2.16717;-2.30669;-2.43953;-2.61355;-2.71164;-2.7749;-2.89539;-2.98993;-3.03417;-3.10121;-3.11007;-3.10606;-3.0723;-3.02576;-2.91932;-2.82773;-2.68392;-2.62885;-2.56956;-2.42289;-2.30458;-2.09876;-2.04701;-1.81853;-1.61014;-1.27165;-1.16702;-0.849513;-0.472792;-0.117687;0.152018;0.495829;0.825895;1.17629;1.43673;1.72039;1.96528;2.43065;2.91614;3.04567;3.53283;3.83587;4.19771;4.22927;4.58036;5.04865;5.46748;5.75151;6.24425;6.7009;7.09128;7.58432;7.74837;8.19013;8.57818;8.90415;9.28167;9.77145;9.80773;10.2918;10.5676;10.8565;11.1912;11.2747;11.7735;12.1452;12.4351;12.8066;13.2545;13.5831;13.9036;14.1593;14.5967;15.016;15.3524;15.8295;16.2026;16.5544;16.803;16.8775;17.3017;17.4897;17.9799;18.3764;18.6774;19.1663;19.606;20.0261;20.3083;20.4716;20.8073;21.2204;21.5765;21.6989;22.0766;22.3427;22.7382;22.9793;23.2923;23.4951;23.6909;23.8677;24.1276;24.3229;24.4955;24.7065;24.807;24.9306;25.032;25.0565;25.1335;25.2049;25.2542;25.274;25.3045;25.3052;25.2931;25.2348;25.2011;25.1206;24.9893;24.8424;24.757;24.5635;24.5136;24.3017;24.0493;23.8054;23.6625;23.4151;23.2485;23.0144;22.9159;22.5746;22.2819;22.1509;22.0351;21.8714;21.6766;21.3677;21.3046;21","15;14.841;14.4994;14.2152;13.7698;13.5811;13.3531;13.1033;12.8461;12.5401;12.2433;11.8922;11.7812;11.4526;11.3659;11.0085;10.744;10.6498;10.3844;10.1115;9.72655;9.41314;9.07434;8.60582;8.13217;7.88879;7.42557;7.19832;6.9812;6.54143;6.24817;5.77529;5.40899;4.93513;4.7707;4.61079;4.23937;4.02748;3.58404;3.50571;3.12624;2.83563;2.50211;2.3927;2.02266;1.71392;1.44811;1.27038;1.08576;0.895531;0.720291;0.588727;0.458018;0.359894;0.182349;0.105456;0.0831104;0.0803534;0.0513994;0.0426748;0.0425907;0.0589215;0.0876385;0.0553486;0.0475557;0.0327002;0.0981799;0.135686;0.0656421;0.0593343;0.019725;0.0179649;0.0194628;0.0219709;0.00350143;0.00688517;0.0192343;0.0270405;0.0177451;0.0138462;0.0239573;0.0370811;0.00620487;0.0414119;0.0583962;0.0287621;0.0473885;0.0545569;0.0279181;0.0220757;0.0122975;0.0336078;0.042879;0.108982;0.0949614;0.0854199;0.0821926;0.0842911;0.10141;0.0522787;0.0984045;0.0982094;0.100623;0.153681;0.242073;0.318288;0.368832;0.48389;0.623652;0.794089;0.868143;1.11272;1.29822;1.59327;1.80775;2.09765;2.32094;2.574;2.79728;3.13441;3.38077;3.63042;4.006;4.2762;4.66261;5.0458;5.14017;5.45638;5.80396;6.06288;6.54143;6.91851;7.24928;7.63815;8.11728;8.39683;8.74371;9.20698;9.56222;9.7367;10.1958;10.309;10.6728;11.0745;11.4914;11.6491;11.9463;12.0983;12.3267;12.436;12.7341;13.081;13.3213;13.5128;13.8857;14.2347;14.6255;14.6905;15",0.549273,"0;0.966667;0.0333333"
53.6036,0.330123,26.8018,"1;0.960327;0.556984;0.485218;0.265705;0.00395158;-0.325113;-0.59796;-0.723856;-0.88774;-1.02863;-1.22116;-1.38517;-1.57948;-1.78092;-1.88407;-2.08799;-2.26805;-2.3929;-2.57746;-2.62358;-2.6781;-2.75997;-2.81287;-2.85711;-2.89771;-2.89837;-2.89486;-2.86893;-2.84865;-2.77959;-2.74316;-2.63953;-2.5255;-2.45954;-2.30319;-2.24794;-2.11343;-2.01206;-1.85317;-1.61186;-1.34162;-1.11821;-0.95991;-0.761066;-0.396034;-0.134569;0.177681;0.443739;0.825469;1.0194;1.41738;1.83546;1.87749;2.15246;2.61008;3.07294;3.29723;3.75415;4.11674;4.33957;4.76755;5.11415;5.34512;5.59581;5.74353;6.11596;6.47074;6.84701;7.26354;7.50387;7.9274;8.36672;8.54074;8.95409;9.42302;9.54581;10.0234;10.4635;10.6114;10.7815;11.0804;11.5544;11.9675;12.4633;12.8364;13.2675;13.5652;13.7953;14.1776;14.2448;14.3927;14.7585;14.9318;15.2999;15.4705;15.8258;16.2802;16.3969;16.8291;17.0614;17.32;17.7195;18.0953;18.5223;18.6881;19.135;19.4668;19.7474;20.0975;20.2556;20.6567;20.9334;21.3692;21.5138;21.8622;22.2203;22.4583;22.7244;23.006;23.1648;23.4456;23.6512;23.8574;23.9925;24.1476;24.1883;24.3653;24.3951;24.5407;24.6438;24.7095;24.7731;24.8346;24.8551;24.9089;24.9247;24.9219;24.8958;24.8273;24.7624;24.7122;24.5733;24.4252;24.267;24.0592;23.8245;23.5426;23.4649;23.2245;23.161;22.8612;22.6979;22.5193;22.2884;21.9454;21.5773;21.2246;21","15;15.0234;15.2923;15.3565;15.5605;15.7749;16.0679;16.3501;16.5007;16.7173;16.9087;17.1417;17.3768;17.6721;18.0255;18.2296;18.6776;19.0776;19.4159;19.8653;20.0239;20.2439;20.6155;20.939;21.1213;21.5971;21.8143;22.0078;22.3867;22.8289;23.2992;23.4707;23.8717;24.2374;24.45;24.8752;25.0061;25.3069;25.5071;25.7979;26.1745;26.5725;26.8851;27.0986;27.3557;27.6938;27.9398;28.2247;28.4543;28.7056;28.8318;29.0511;29.2408;29.2603;29.38;29.5321;29.6678;29.7238;29.7994;29.8698;29.9007;29.9113;29.931;29.9551;29.9752;29.9808;29.9689;29.9938;29.9831;29.9816;29.9894;29.9913;29.9894;29.9972;29.986;29.9321;29.9373;29.9562;29.9688;29.9575;29.9481;29.9194;29.9592;29.9842;29.9603;29.9826;29.9922;29.979;29.9615;29.9389;29.934;29.9194;29.927;29.9507;29.9907;29.9903;29.9803;29.9988;29.9922;29.9976;29.9999;29.9968;29.9903;29.9335;29.8663;29.8354;29.7106;29.5998;29.4887;29.3384;29.267;29.0806;28.9539;28.723;28.6382;28.3989;28.1151;27.8887;27.5905;27.2887;27.0984;26.7105;26.4037;26.0803;25.852;25.5632;25.4873;25.0994;24.9479;24.5788;24.2575;24.0165;23.67;23.284;23.1644;22.6894;22.2658;21.8901;21.4468;20.9994;20.5591;20.2992;19.8235;19.3741;18.9481;18.5064;18.0816;17.6858;17.5676;17.2461;17.1584;16.7723;16.5775;16.3443;16.0613;15.739;15.4241;15.1759;15",0.330123,"0;1;0"
24.9988,144.516,2.18063,"1;1.06948;1.11938;1.19469;1.2703;1.26278;1.21697;1.68666;2.1474;2.43404;2.72805;3.13883;3.37092;3.80187;4.06704;4.42995;4.90632;5.31032;5.74043;5.94659;6.27523;6.70844;7.05857;7.50037;7.95676;8.19648;8.61348;9.00283;9.48003;9.77413;10.1925;10.6602;10.7471;11.2185;11.3571;11.7734;12.1781;12.3899;12.7486;13.1842;13.4734;13.8939;14.2879;14.58;14.7969;15.0821;15.4504;15.8255;16.2203;16.4887;16.8307;17.2764;17.5503;17.7531;18.1176;18.528;18.8341;19.2533;19.4226;19.7214;20.1586;20.5975;21.009;20.9407;20.9941;21.0068;21.0132;21.0396;21","15;14.6525;14.3188;13.8424;13.375;13.2579;12.8685;12.7371;12.5678;12.4499;12.3627;12.23;12.1535;12.0232;11.9089;11.8449;11.7052;11.5608;11.42;11.3419;11.2528;11.1246;11.0226;10.8903;10.6974;10.5887;10.4337;10.2988;10.1596;10.0613;9.90779;9.84649;9.84133;9.90596;9.90667;9.92916;10.0428;10.1148;10.1898;10.3287;10.4141;10.5503;10.693;10.8236;10.868;10.9531;11.0809;11.2435;11.3693;11.4453;11.5271;11.6436;11.7332;11.8101;11.9594;12.0683;12.1584;12.3356;12.4118;12.5445;12.648;12.8032;12.9714;13.231;13.5869;13.8285;14.1145;14.5976;15",2.94123,"0.0333333;0;0.966667"
26.6993,2.54838,2.18357,"1;1.007;1.01283;1.00838;0.998696;0.994338;1.02248;1.29911;1.62286;1.96662;2.28684;2.66288;2.75217;3.1207;3.33974;3.67034;4.03887;4.25442;4.39227;4.77779;4.9203;5.33223;5.61839;6.02188;6.24252;6.66619;7.10453;7.51655;7.70594;8.06315;8.42937;8.86805;9.33297;9.7503;10.2005;10.659;10.9712;11.3624;11.8336;12.2952;12.7245;12.9387;13.1712;13.3936;13.591;13.8736;14.2267;14.5212;14.9535;15.0708;15.3261;15.6537;15.9631;16.2126;16.6291;17.0148;17.3037;17.4988;17.7734;17.9683;18.2869;18.6551;19.031;19.2576;19.4755;19.6767;19.7139;20.1072;20.3384;20.6499;20.749;20.8521;20.8878;20.8928;20.9469;21","15;14.6725;14.1997;13.9137;13.5867;13.2591;12.9937;12.7788;12.5563;12.3415;12.0591;11.794;11.728;11.4594;11.3045;11.0804;10.8464;10.7067;10.6042;10.3473;10.2778;10.0026;9.82101;9.5808;9.45976;9.21244;8.97431;8.78139;8.68489;8.51843;8.3602;8.23567;8.09224;7.9812;7.90547;7.84821;7.8005;7.80352;7.82863;7.90169;8.00067;8.06256;8.13096;8.20606;8.2733;8.38187;8.52053;8.66476;8.89784;8.95313;9.07964;9.25915;9.43537;9.5873;9.83944;10.1118;10.3429;10.4639;10.6535;10.7894;11.0176;11.3039;11.607;11.7821;11.9555;12.1168;12.1407;12.4041;12.5915;12.8696;13.1299;13.4111;13.7627;14.199;14.6372;15",3.01292,"0.0333333;0.0333333;0.933333"
27.5638,1.99119,2.19377,"1;1.0326;1.05995;1.0431;1.09713;1.10316;1.04156;1.16726;1.55257;1.8353;2.05339;2.37374;2.72441;3.08444;3.38367;3.70522;3.93731;4.23886;4.48315;4.58425;4.93456;5.21822;5.51829;5.88603;6.28859;6.73572;7.064;7.32487;7.63828;8.04647;8.29736;8.64049;8.72833;9.16388;9.47213;9.8442;10.1988;10.6165;11.0501;11.5045;11.9306;12.3185;12.687;13.1448;13.5497;13.8191;14.151;14.3545;14.6743;14.855;15.2144;15.5169;15.8458;15.9905;16.404;16.6255;16.8963;17.2953;17.4653;17.7007;17.9779;18.3295;18.4154;18.6901;19.0401;19.2288;19.5462;19.8628;20.1432;20.4649;20.574;20.882;20.8234;20.822;20.8026;20.8682;20.8839;21","15;14.7357;14.3537;14.1548;13.7182;13.3851;12.9926;12.9147;12.6897;12.5139;12.3346;12.0665;11.8203;11.534;11.3188;11.0782;10.8643;10.5837;10.3145;10.2132;9.92528;9.64788;9.41316;9.13142;8.88483;8.68357;8.43963;8.33206;8.1147;7.91599;7.83075;7.68925;7.66422;7.58476;7.54464;7.44189;7.36072;7.34725;7.33636;7.34558;7.34835;7.37684;7.44534;7.64151;7.76132;7.86443;8.02594;8.13202;8.27119;8.37617;8.55355;8.6905;8.82806;8.93279;9.15178;9.29836;9.44498;9.71747;9.85332;10.0658;10.3049;10.6043;10.6683;10.9759;11.2112;11.4161;11.6723;11.8775;12.1642;12.4369;12.5849;12.8531;13.1397;13.5938;13.9012;14.3499;14.5622;15",3.02593,"0.0333333;0.0666667;0.9"
28.1205,1.63599,2.19884,"1;0.993619;1.00016;1.01759;1.02615;1.01695;1.01336;1.15805;1.46266;1.67027;1.93118;2.15706;2.44921;2.66093;2.9178;3.12798;3.44494;3.75622;3.96669;4.28853;4.53002;4.88427;5.07109;5.45454;5.75873;6.13149;6.53701;6.85193;7.23225;7.57114;7.98275;8.27481;8.48047;8.96036;9.15977;9.60076;9.85901;10.2036;10.6567;11.0927;11.4291;11.7183;12.2062;12.6052;13.0646;13.4441;13.7749;14.1832;14.4475;14.844;15.1987;15.3979;15.6083;15.8205;16.1119;16.4621;16.8286;17.2264;17.5377;17.6735;18.0483;18.4044;18.6744;18.9271;19.2644;19.5534;19.6115;19.9493;20.2393;20.3828;20.6804;20.8866;20.9687;20.904;20.9123;20.9191;20.9264;20.9441;21","15;14.5287;14.3871;13.9252;13.7298;13.249;13.1166;12.8683;12.5861;12.3467;11.9939;11.7715;11.4832;11.2757;11.0754;10.8644;10.563;10.2371;10.0485;9.76785;9.5676;9.27262;9.12089;8.83489;8.59499;8.37538;8.14614;7.99169;7.78813;7.60466;7.44885;7.33185;7.26001;7.14163;7.09319;7.0058;6.96028;6.87602;6.89715;6.87951;6.88356;6.90198;6.959;7.05387;7.19205;7.30445;7.41872;7.57569;7.68928;7.87096;8.07171;8.20095;8.34006;8.4321;8.61153;8.8422;9.11782;9.40613;9.67349;9.77468;10.0787;10.3754;10.6727;10.8742;11.1706;11.4841;11.5497;11.8736;12.1769;12.3437;12.6485;12.8674;13.235;13.4908;13.7749;13.9946;14.4103;14.6147;15",3.00661,"0.0333333;0.1;0.866667"
28.457,1.46057,2.20984,"1;1.02486;1.05215;1.0813;1.06829;1.07421;1.0995;1.34903;1.47685;1.72356;1.95066;2.23648;2.49782;2.72093;3.05565;3.37032;3.61495;3.83983;4.08214;4.43062;4.67385;4.86038;4.98527;5.34167;5.65483;5.99946;6.36754;6.65896;7.09595;7.48885;7.95294;8.3737;8.65037;9.11132;9.24278;9.66032;10.1182;10.52;10.9872;11.4059;11.7382;11.8961;12.3615;12.8066;13.2825;13.7431;14.1479;14.5063;14.7115;15.1003;15.1993;15.5489;15.941;16.1826;16.5021;16.8767;17.0419;17.3622;17.6813;17.9073;18.0692;18.3183;18.6488;18.945;19.2552;19.5729;19.8463;20.0398;20.364;20.4724;20.5975;20.6937;20.6955;20.8003;20.8526;20.8789;20.935;21","15;14.6289;14.1417;13.7442;13.2985;13.2558;12.9725;12.709;12.5727;12.2274;11.8787;11.4833;11.1558;10.9269;10.6012;10.2719;9.98699;9.75045;9.52853;9.17116;8.95759;8.80129;8.70114;8.47901;8.21695;7.98892;7.7569;7.58504;7.38711;7.24676;7.09519;6.9644;6.86606;6.76898;6.73335;6.65138;6.62037;6.59344;6.62579;6.61778;6.62147;6.64952;6.71344;6.79291;6.91256;7.02439;7.1526;7.31415;7.41855;7.6398;7.72143;7.95722;8.22522;8.42435;8.6238;8.92745;9.06683;9.36747;9.65001;9.84168;10.0037;10.2086;10.5392;10.8336;11.1811;11.517;11.8333;12.0536;12.4314;12.5737;12.7393;13.1233;13.3305;13.7877;14.18;14.3696;14.5395;15",2.98484,"0.0333333;0.133333;0.833333"
29.0126,1.34958,2.18338,"1;1.01432;0.997592;1.0214;1.03609;1.03722;1.36391;1.44381;1.72446;1.97643;2.1712;2.40635;2.61075;2.78954;3.10997;3.37215;3.69242;3.98546;4.17711;4.26399;4.59929;4.91398;5.29443;5.65234;5.96069;6.36361;6.77726;7.20601;7.54729;7.97234;8.3266;8.74645;9.18635;9.65436;10.1351;10.5946;10.9177;11.0092;11.439;11.7957;12.211;12.6534;12.9895;13.3537;13.6704;14.1164;14.4612;14.8691;15.3083;15.4482;15.8572;16.1456;16.4965;16.8136;17.0465;17.3605;17.7292;17.9275;18.1951;18.3816;18.6573;18.8215;19.1516;19.4196;19.7158;19.921;20.2203;20.5005;20.7812;20.8289;20.9928;21.0212;21.0373;21.0468;21.0237;21","15;14.5055;14.0246;13.6298;13.2989;12.9998;12.6336;12.5337;12.1918;11.8403;11.603;11.3191;11.0709;10.8542;10.4776;10.1842;9.83046;9.57465;9.38942;9.30575;8.97508;8.68575;8.38281;8.15623;7.94916;7.66986;7.42426;7.20253;7.05844;6.8763;6.74879;6.5881;6.49365;6.42009;6.37622;6.3285;6.32011;6.31063;6.29546;6.30824;6.36496;6.43128;6.4948;6.59903;6.68663;6.87044;7.04784;7.24831;7.44562;7.54501;7.79997;7.9982;8.25214;8.48985;8.66435;8.94279;9.26106;9.4653;9.72896;9.94562;10.1996;10.3497;10.6919;10.984;11.2848;11.5251;11.8897;12.2036;12.578;12.645;13.1161;13.4754;13.9714;14.2078;14.6157;15",2.93872,"0.0333333;0.166667;0.8"
29.4716,1.2627,2.19018,"1;0.961543;0.935298;0.887418;0.876426;0.865639;1.03929;1.33931;1.6312;1.82818;2.06397;2.31242;2.506;2.70226;2.92908;3.14751;3.32297;3.44162;3.73989;4.04293;4.40332;4.70249;5.01481;5.39916;5.68975;6.03382;6.24722;6.61774;6.95854;7.37346;7.80323;7.91823;8.28765;8.54483;8.99159;9.31065;9.69484;10.0006;10.3403;10.6326;11.0333;11.4054;11.7604;12.2184;12.4493;12.8641;13.286;13.3862;13.7486;13.9981;14.2878;14.7381;15.1251;15.3858;15.6868;15.9314;16.1628;16.4854;16.8772;17.2176;17.4144;17.7294;17.8387;18.1766;18.4431;18.7179;18.9305;19.2249;19.4975;19.6372;19.8515;20.0663;20.2585;20.515;20.6902;20.8443;20.8599;20.8938;20.9295;20.9343;20.9838;21","15;14.529;14.0305;13.5633;13.1473;12.8483;12.621;12.2528;11.8697;11.6097;11.2974;11.0201;10.7794;10.4994;10.2538;10.0144;9.84768;9.73921;9.42305;9.15904;8.86969;8.5954;8.31464;8.00769;7.79803;7.57162;7.43925;7.25429;7.09466;6.88772;6.72343;6.69722;6.55397;6.44884;6.34159;6.28028;6.20397;6.15629;6.10978;6.08473;6.07746;6.0514;6.10908;6.15553;6.19107;6.28471;6.38283;6.41341;6.52881;6.63038;6.75652;6.94355;7.16454;7.30148;7.51658;7.64889;7.8021;8.02549;8.30575;8.5811;8.74783;9.02916;9.13112;9.42624;9.71502;10.0271;10.2837;10.6452;10.9348;11.1207;11.4341;11.7059;11.9772;12.3963;12.6113;12.8645;13.1277;13.4086;13.8944;14.3223;14.7866;15",2.91407,"0.0333333;0.2;0.766667"
29.4787,1.20167,2.22596,"1;1.05828;1.15047;1.21532;1.26338;1.31187;1.29457;1.55009;1.77369;1.93448;2.20734;2.43803;2.65296;2.92391;3.19168;3.47417;3.75669;4.09762;4.37023;4.63445;4.91046;5.16882;5.50341;5.74911;6.05925;6.48342;6.88189;7.20652;7.55854;8.01117;8.15814;8.43683;8.89647;9.05716;9.43907;9.93156;10.1927;10.457;10.8194;11.1968;11.5638;11.7838;12.2233;12.4105;12.7378;13.2157;13.5312;13.6423;13.862;14.0879;14.4227;14.8182;15.223;15.418;15.7361;16.1203;16.2292;16.5083;16.8208;17.184;17.5394;17.8329;18.0334;18.3036;18.5399;18.6196;18.8824;19.0418;19.2824;19.4554;19.7267;19.8363;20.0746;20.3335;20.5446;20.6617;20.6862;20.7399;20.7964;20.8673;20.9288;21","15;14.7704;14.3275;13.8665;13.5364;13.1249;12.729;12.3006;11.9739;11.761;11.3783;11.0159;10.7289;10.3273;9.97198;9.61429;9.25034;8.90891;8.64711;8.40164;8.13131;7.91217;7.66816;7.48931;7.26106;7.01913;6.81904;6.67223;6.52011;6.32797;6.28262;6.20098;6.07829;6.0401;5.96154;5.87743;5.84549;5.82112;5.80449;5.82503;5.84221;5.8549;5.90588;5.94116;6.00975;6.15156;6.24748;6.28594;6.36945;6.45749;6.62011;6.79194;7.01474;7.12388;7.31721;7.58615;7.67082;7.8841;8.16272;8.48512;8.78764;9.09881;9.30863;9.65348;9.95649;10.0544;10.3787;10.5683;10.8964;11.1371;11.5434;11.7316;12.1224;12.5081;12.8225;12.9916;13.2864;13.623;13.9278;14.3658;14.6874;15",2.89538,"0.0333333;0.233333;0.733333"
30.1177,1.12282,2.23247,"1;1.01904;1.02046;1.0223;1.03888;1.03002;1.04024;1.08487;1.33657;1.6244;1.84821;2.05694;2.1331;2.36838;2.43789;2.6125;2.80703;2.97807;3.2793;3.38125;3.46104;3.71385;3.96093;4.09255;4.42612;4.62324;4.81056;5.17077;5.3759;5.67667;5.88141;6.09401;6.38935;6.70889;7.01291;7.46137;7.71427;7.99556;8.2101;8.47611;8.81227;8.88734;9.34574;9.81925;10.0465;10.5351;10.803;11.3004;11.6756;12.0751;12.4459;12.8024;13.1322;13.5676;14.0364;14.3431;14.7057;14.9294;15.327;15.6993;16.1098;16.3274;16.6324;16.7479;17.0617;17.2222;17.5249;17.8101;18.1444;18.3133;18.4166;18.6777;18.9759;19.072;19.384;19.6307;19.7519;20;20.199;20.2905;20.4269;20.6466;20.7442;20.776;20.861;20.8725;20.904;21","15;14.9061;14.4978;14.1957;13.7616;13.3512;12.869;12.7202;12.3376;11.9629;11.6467;11.362;11.2638;10.8691;10.7531;10.4313;10.1559;9.87181;9.49025;9.36499;9.26806;8.9395;8.70766;8.54835;8.24481;8.04987;7.87135;7.56727;7.40275;7.20665;7.06783;6.88956;6.70818;6.57684;6.44538;6.25428;6.17221;6.09189;6.00242;5.90068;5.80097;5.78133;5.68049;5.64297;5.6248;5.60901;5.59377;5.59637;5.61793;5.65038;5.72354;5.815;5.91656;6.00673;6.12523;6.21314;6.4307;6.55986;6.78876;6.98698;7.26995;7.45808;7.67017;7.76467;8.02923;8.20907;8.50144;8.84897;9.17366;9.41903;9.57539;9.89739;10.2482;10.3759;10.727;11.1101;11.3241;11.7117;12.0895;12.2193;12.5051;12.8491;13.114;13.4715;13.8521;14.0934;14.5337;15",2.86607,"0.0333333;0.266667;0.7"
30.4996,1.09596,2.23277,"1;0.990863;0.972939;0.99515;0.987437;0.926214;1.01711;1.06604;1.28798;1.37392;1.66059;1.73782;2.03463;2.28327;2.52103;2.78699;3.06442;3.29854;3.59843;3.82385;3.96115;4.27905;4.57958;4.84108;5.00822;5.26832;5.66341;5.99389;6.23738;6.5047;6.71883;6.9931;7.35768;7.567;8.03193;8.47944;8.78282;9.03974;9.14772;9.62051;9.99903;10.1142;10.3104;10.6329;11.0915;11.5761;11.8451;12.3258;12.6515;12.9789;13.239;13.551;13.9013;14.201;14.5443;14.8525;15.2823;15.5577;15.9899;16.3214;16.727;16.7802;17.0695;17.3298;17.6026;17.7813;18.0851;18.4355;18.7717;18.9779;19.0917;19.3586;19.5206;19.8039;20.1033;20.1834;20.4513;20.6946;20.737;20.84;21.0261;21.1705;21.1866;21.1067;21.0576;21.0104;21","15;14.6321;14.4451;13.972;13.5458;13.1029;12.8407;12.7566;12.3446;12.2076;11.7999;11.7032;11.3684;10.9818;10.5918;10.2398;9.87593;9.5722;9.20432;8.93266;8.77291;8.44655;8.15084;7.87365;7.71112;7.51254;7.21361;6.98201;6.832;6.67957;6.54812;6.42186;6.28651;6.20274;6.03652;5.91957;5.81879;5.74767;5.72293;5.61067;5.55478;5.54061;5.51739;5.50016;5.49463;5.52781;5.52202;5.56643;5.62138;5.67696;5.74712;5.84816;5.98159;6.12332;6.27197;6.42395;6.65422;6.82439;7.03166;7.22979;7.51401;7.56322;7.85373;8.10059;8.37028;8.56574;8.86331;9.20697;9.55098;9.78588;9.92623;10.2749;10.4895;10.8889;11.2579;11.3817;11.7862;12.1973;12.2579;12.4186;12.8692;13.1306;13.448;13.9328;14.3255;14.7823;15",2.83395,"0.0333333;0.3;0.666667"
31.0191,1.02363,2.22681,"1;0.978688;1.00404;1.00177;1.0169;1.10046;1.29413;1.52087;1.71933;1.84219;1.95034;2.17161;2.36327;2.48777;2.57259;2.71181;2.97312;3.20315;3.4418;3.62359;3.89858;4.11348;4.28376;4.46688;4.77762;5.05598;5.41029;5.76626;5.99781;6.40366;6.71386;7.05667;7.52058;7.91344;8.00094;8.47717;8.76611;9.25207;9.5314;9.95416;10.1089;10.3807;10.7536;11.1933;11.4059;11.8883;12.3832;12.641;12.9197;13.4081;13.6676;14.0407;14.4507;14.742;15.118;15.3471;15.722;15.8258;16.2021;16.4553;16.8614;17.1442;17.4754;17.7138;18.0376;18.2776;18.5602;18.793;19.0891;19.2409;19.5127;19.8198;19.9264;20.1377;20.3049;20.5453;20.686;20.8389;21.0521;21.0208;21.0029;21.0202;21.0017;21.0004;20.943;21","15;14.5411;14.0629;13.5799;13.1285;12.8675;12.5181;12.1052;11.8025;11.6066;11.4308;11.0614;10.7517;10.5414;10.318;10.0935;9.70737;9.43126;9.07536;8.84079;8.54294;8.30654;8.0764;7.87136;7.59291;7.34066;7.03922;6.77302;6.59671;6.31119;6.15869;6.01518;5.887;5.7705;5.74477;5.6025;5.52813;5.47839;5.42588;5.349;5.31989;5.2735;5.2386;5.20815;5.21974;5.24628;5.26185;5.31767;5.38829;5.48924;5.53667;5.66771;5.78972;5.99823;6.17083;6.2948;6.53453;6.61218;6.87809;7.03997;7.32567;7.52224;7.78053;7.976;8.23588;8.5258;8.85009;9.15171;9.51555;9.79726;10.1722;10.5615;10.7172;11.0551;11.3457;11.7571;12.0391;12.3872;12.8334;13.1177;13.3433;13.6497;14.0779;14.4305;14.7616;15",2.78549,"0.0333333;0.333333;0.633333"
31.1098,1.00356,2.22387,"1;0.995198;0.977063;0.951618;0.907738;0.918747;0.907065;1.03931;1.14465;1.37303;1.54891;1.70292;1.81701;2.01349;2.18686;2.35029;2.6243;2.89005;3.06956;3.33024;3.60282;3.79018;4.05338;4.22872;4.48416;4.66828;4.97727;5.30434;5.39449;5.69013;6.1197;6.51154;6.92062;7.29192;7.66813;8.06746;8.52312;8.99815;9.4015;9.86303;10.2662;10.4232;10.7779;11.039;11.2284;11.5515;11.8208;12.2865;12.7449;13.1428;13.4908;13.9073;14.3584;14.485;14.8862;15.1489;15.5779;15.8183;16.2243;16.6085;16.8457;17.2307;17.3857;17.6142;17.8757;18.0052;18.2634;18.4731;18.7811;19.0308;19.2166;19.3178;19.5298;19.6505;19.8531;20.0347;20.1065;20.3256;20.4816;20.5609;20.7168;20.7594;20.8893;20.9092;20.9465;20.9558;20.9659;21","15;14.7458;14.2688;14.0603;13.599;13.1337;12.8634;12.4758;12.2195;11.8456;11.5038;11.2075;10.9917;10.6535;10.415;10.142;9.82162;9.47128;9.22887;8.90711;8.57619;8.36732;8.10091;7.90949;7.67871;7.52259;7.28808;7.01042;6.93784;6.71953;6.47902;6.29271;6.08061;5.89179;5.77018;5.62852;5.50999;5.366;5.2648;5.21105;5.15817;5.13478;5.12481;5.13506;5.14896;5.15369;5.18188;5.23309;5.31188;5.40046;5.47891;5.5697;5.73398;5.78879;5.98859;6.13029;6.36642;6.50379;6.78991;7.07364;7.24445;7.53101;7.66925;7.87319;8.13229;8.26171;8.54773;8.80232;9.18827;9.55486;9.83204;9.99545;10.3269;10.5533;10.9519;11.2796;11.4229;11.8393;12.1905;12.382;12.713;12.8661;13.109;13.4454;13.8328;14.2012;14.6788;15",2.73929,"0.0333333;0.366667;0.6"
