ID,W_Dist,W_Risk,W_Time,Cost_Dist,Cost_Risk,Cost_Time,Is_Harvested
0,1,0,0,20.0154,0.959798,10.0077,0
1,0,1,0,20.3631,0.959532,10.1816,0
2,0,0,1,24.5904,2.81677,2.21509,0
3,0,0.53724,0.46276,22.9288,1.28571,2.08677,0
4,0,0.53724,0.46276,22.8884,1.28495,2.09848,1
5,0,0.53724,0.46276,22.928,1.28571,2.0864,1
6,0,0.53724,0.46276,23.1919,1.2899,2.08263,1
7,0,0.53724,0.46276,22.8912,1.28391,2.20417,1
8,0,0.53724,0.46276,22.9279,1.28481,2.17193,1
9,0.867837,0,0.132163,20.7109,1.03436,5.16728,0
10,0.867837,0,0.132163,20.7109,1.03436,5.16728,1
11,0.867837,0,0.132163,20.7109,1.03436,5.16728,1
12,0.867837,0,0.132163,20.6777,1.03368,5.36082,1
13,0.867837,0,0.132163,21.3908,1.0447,4.34586,1
14,0.867837,0,0.132163,20.662,1.03316,5.72163,1
15,0.867837,0,0.132163,20.7871,1.03559,4.70108,1
16,0.647627,0,0.352373,21.2758,1.17383,2.94975,0
17,0.647627,0,0.352373,21.5311,1.17754,2.86194,1
18,0.647627,0,0.352373,21.2581,1.17326,3.0385,1
19,0.647627,0,0.352373,21.2667,1.17369,2.9452,1
20,0.647627,0,0.352373,21.3683,1.17525,2.92574,1
21,0,0.872867,0.127133,22.3839,1.08103,2.65883,0
22,0,0.872867,0.127133,22.1057,1.07614,2.79379,1
23,0,0.872867,0.127133,22.4652,1.0823,2.65644,1
24,0,0.872867,0.127133,22.3839,1.08103,2.65883,1
25,0,0.872867,0.127133,22.2957,1.07953,2.66919,1
26,0,0.872867,0.127133,22.2597,1.07868,2.70778,1
27,0,0.872867,0.127133,22.2319,1.07799,2.72004,1
28,0,0.872867,0.127133,22.2414,1.0783,2.71222,1
29,0.715424,0.152886,0.13169,20.8192,1.07798,4.37262,0
30,0.715424,0.152886,0.13169,20.8192,1.07798,4.37262,1
31,0.715424,0.152886,0.13169,20.8192,1.07798,4.37262,1
32,0.715424,0.152886,0.13169,20.8202,1.07798,4.37309,1
33,0.715424,0.152886,0.13169,21.1021,1.08222,3.84926,1
34,0.348663,0,0.651337,21.9051,1.32145,2.27937,0
35,0.348663,0,0.651337,21.9051,1.32145,2.27937,1
36,0.348663,0,0.651337,21.916,1.32101,2.39522,1
37,0.348663,0,0.651337,22.0924,1.32426,2.21436,1
38,0.348663,0,0.651337,22.0172,1.32303,2.23899,1
39,0.348663,0,0.651337,21.906,1.32145,2.2798,1
40,0.348663,0,0.651337,21.9051,1.32145,2.27937,1
41,0.348663,0,0.651337,21.9055,1.32102,2.38958,1
42,0.908065,0,0.0919346,20.0757,0.983209,10.0378,0
43,0.908065,0,0.0919346,20.6985,1.02898,6.06505,1
44,0.908065,0,0.0919346,20.8297,1.0312,5.21451,1
45,0.80445,0,0.19555,20.8569,1.05487,4.31173,0
46,0.80445,0,0.19555,21.326,1.06202,3.80871,1
47,0.80445,0,0.19555,20.8537,1.05481,4.31014,1
48,0.80445,0,0.19555,21.0554,1.05827,3.90946,1
49,0.80445,0,0.19555,20.8531,1.05482,4.30984,1
50,0.575604,0,0.424396,21.2816,1.19127,2.9747,0
51,0.575604,0,0.424396,21.4026,1.19291,2.87577,1
52,0.575604,0,0.424396,21.6384,1.19619,2.69227,1
53,0.356693,0,0.643307,21.8566,1.35325,2.29854,0
54,0.356693,0,0.643307,21.8566,1.35325,2.29854,1
55,0.356693,0,0.643307,22.0426,1.35585,2.20641,1
56,0.356693,0,0.643307,21.843,1.35279,2.31636,1
57,0.356693,0,0.643307,21.8566,1.35325,2.29854,1
58,0.91001,0,0.0899903,20.0701,0.983504,10.035,0
59,0.91001,0,0.0899903,20.8511,1.03089,5.37101,1
60,0.80445,0,0.19555,20.8254,1.05591,4.25226,0
61,0.80445,0,0.19555,20.8242,1.05589,4.25166,1
62,0.80445,0,0.19555,20.8284,1.05568,4.31844,1
63,0.80445,0,0.19555,21.2679,1.06254,3.69752,1
64,0.566498,0,0.433502,21.4544,1.20829,2.75249,0
65,0.566498,0,0.433502,21.4544,1.20829,2.75249,1
66,0.566498,0,0.433502,21.6026,1.21029,2.57263,1
67,0.566498,0,0.433502,21.3947,1.2074,2.86593,1
68,0.566498,0,0.433502,21.4544,1.20829,2.75249,1
69,0.908065,0,0.0919346,20.0648,0.97978,10.0324,0
70,0.908065,0,0.0919346,20.7836,1.01411,5.90798,1
71,0.908065,0,0.0919346,20.9656,1.01669,5.47213,1
72,0.908065,0,0.0919346,20.0759,0.982082,10.0379,0
