Iteration, w1,w2,w3, f1,f2,f3, MaxRegret, is_duplicate, wd,wr,wt
-3,1,0, 0, 20.0029,0.959644, 0.407334, 0
-2,0,1, 0, 20.1912,0.958531, 0.8345, 0
-1,0,0, 1, 20.884,1.17806, 0.222758, 0
0,0,0.498882,0.501118, 20.6749,0.984736,0.255556, 0.0929656,0,1,0,0,0,1,0,0,0,1
1,0.766131,0,0.233869, 20.5538,0.990786,0.271447, 0.0323232,0,1,0,0,0,0.498882,0.501118,0,0,1
2,0,0.166572,0.833428, 21.9015,1.05273,0.236853, 0.0218473,0,0.766131,0,0.233869,0,0.498882,0.501118,0,0,1
3,0.670342,0.16446,0.165197, 21.0326,1.05014,0.431298, 0.0215704,0,1,0,0,0,1,0,0,0.498882,0.501118
4,0.675471,0.161902,0.162627, 20.5239,0.981941,0.460048, 0.0212348,0,1,0,0,0,0.498882,0.501118,0.766131,0,0.233869
5,0,0.963,0.0369999, 20.522,0.973354,0.378933, 0.0206015,0,0.670342,0.16446,0.165197,0,1,0,0,0.498882,0.501118
6,0.837428,0,0.162572, 20.8273,0.981421,0.457937, 0.00804216,0,1,0,0,0.675471,0.161902,0.162627,0.766131,0,0.233869
7,0.0982341,0.145214,0.756552, 20.6487,0.99992,0.259824, 0.00530166,0,0.766131,0,0.233869,0,0.166572,0.833428,0,0,1
8, DUPLICATE FOUND - RESOLUTION LIMIT, Weight: 0.0982341,0.145214,0.756552
9,0.112229,0.860114,0.0276574, 20.7775,1.00881,0.526892, 0.00448901,0,0.670342,0.16446,0.165197,0,1,0,0,0.963,0.0369999
10,0,0.927376,0.0726236, 20.5346,0.975561,0.403641, 0.00437555,0,0.670342,0.16446,0.165197,0,0.963,0.0369999,0,0.498882,0.501118
11,0,0.116983,0.883017, 21.2817,1.06766,0.234688, 0.00419601,0,0.0982341,0.145214,0.756552,0,0.166572,0.833428,0,0,1
12,0,0.973124,0.0268764, 20.4251,0.969122,0.316573, 0.0034426,0,0.112229,0.860114,0.0276574,0,1,0,0,0.963,0.0369999
13,0,0.982939,0.0170615, 20.5351,0.996833,0.352984, 0.00328302,0,0.112229,0.860114,0.0276574,0,1,0,0,0.973124,0.0268764
14,0.0948449,0.905155,0, 20.4356,0.971501,0.296542, 0.000855167,0,1,0,0,0,1,0,0.670342,0.16446,0.165197
15,0.081797,0.898045,0.0201578, 20.3116,0.964956,0.404184, 0.00327177,0,0.0948449,0.905155,0,0,1,0,0.670342,0.16446,0.165197
16,0.0509354,0.936512,0.0125524, 20.5303,1.01684,0.854784, 0.0020578,0,0.0948449,0.905155,0,0,1,0,0.081797,0.898045,0.0201578
17,0.754879,0,0.245121, 20.4159,0.974404,0.378022, 0.000715076,0,0.766131,0,0.233869,0.0982341,0.145214,0.756552,0,0,1
18,0.702329,0.0138718,0.283799, 20.4876,0.975971,0.270395, 0.000689821,0,0.766131,0,0.233869,0.0982341,0.145214,0.756552,0.754879,0,0.245121
19,0.468853,0.0646341,0.466513, 20.4157,1.01283,0.462322, 0.00165719,0,0.702329,0.0138718,0.283799,0.0982341,0.145214,0.756552,0.754879,0,0.245121
20,0.716713,0.0321798,0.251107, 20.2249,0.96867,0.271445, 0.000678922,0,0.675471,0.161902,0.162627,0,0.498882,0.501118,0.766131,0,0.233869
21,0.063648,0.457436,0.478915, 21.2584,1.01834,0.477902, 0.00105601,0,0.675471,0.161902,0.162627,0,0.498882,0.501118,0.716713,0.0321798,0.251107
22,0,0.112928,0.887072, 21.3171,1.02583,0.235416, 0.000413528,0,0.0982341,0.145214,0.756552,0,0.116983,0.883017,0,0,1
23,0,0.0892122,0.910788, 20.9077,1.13364,0.228266, 0.00265824,0,0.0982341,0.145214,0.756552,0,0.112928,0.887072,0,0,1
24,0,0.145851,0.854149, 21.5044,1.00628,0.241853, 0.000179,0,0.0982341,0.145214,0.756552,0,0.166572,0.833428,0,0.116983,0.883017
25,0,0.1209,0.8791, 20.9856,0.996335,0.243783, 0.000200618,0,0.0982341,0.145214,0.756552,0,0.145851,0.854149,0,0.116983,0.883017
26,0.766131,0,0.233869,0, 0,0.837428,0,0.162572,0.675471,0.161902,0.162627,0.766131,0,0.233869
