f1,f2,f3,w1,w2,w3
0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0344622758397788,0.9994059993535876,0.0,0.0333333333333333,0.9666666666666668
0.0,0.0712470499879096,0.997458699830735,0.0,0.0666666666666666,0.9333333333333332
0.0,0.1104315260748465,0.9938837346736188,0.0,0.1,0.9
0.0,0.1520571842539411,0.9883716976506172,0.0,0.1333333333333333,0.8666666666666667
0.0,0.196116135138184,0.9805806756909202,0.0,0.1666666666666666,0.8333333333333334
0.0,0.2425356250363329,0.9701425001453318,0.0,0.2,0.8
0.0,0.291161615782696,0.9566738804288584,0.0,0.2333333333333333,0.7666666666666667
0.0,0.3417430630867044,0.939793423488437,0.0,0.2666666666666666,0.7333333333333333
0.0,0.3939192985791677,0.919145030018058,0.0,0.3,0.7
0.0,0.4472135954999579,0.8944271909999159,0.0,0.3333333333333333,0.6666666666666666
0.0,0.5010362705417046,0.8654262854811262,0.0,0.3666666666666666,0.6333333333333333
0.0,0.5547001962252291,0.8320502943378436,0.0,0.4,0.6
0.0,0.6074501075707971,0.7943578329771962,0.0,0.4333333333333333,0.5666666666666667
0.0,0.658504607868518,0.7525766947068778,0.0,0.4666666666666667,0.5333333333333333
0.0,0.7071067811865475,0.7071067811865475,0.0,0.5,0.5
0.0,0.7525766947068778,0.658504607868518,0.0,0.5333333333333333,0.4666666666666667
0.0,0.7943578329771962,0.6074501075707971,0.0,0.5666666666666667,0.4333333333333333
0.0,0.8320502943378436,0.5547001962252291,0.0,0.6,0.4
0.0,0.8654262854811262,0.5010362705417046,0.0,0.6333333333333333,0.3666666666666666
0.0,0.8944271909999159,0.4472135954999579,0.0,0.6666666666666666,0.3333333333333333
0.0,0.919145030018058,0.3939192985791677,0.0,0.7,0.3
0.0,0.939793423488437,0.3417430630867044,0.0,0.7333333333333333,0.2666666666666666
0.0,0.9566738804288584,0.291161615782696,0.0,0.7666666666666667,0.2333333333333333
0.0,0.9701425001453318,0.2425356250363329,0.0,0.8,0.2
0.0,0.9805806756909202,0.196116135138184,0.0,0.8333333333333334,0.1666666666666666
0.0,0.9883716976506172,0.1520571842539411,0.0,0.8666666666666667,0.1333333333333333
0.0,0.9938837346736188,0.1104315260748465,0.0,0.9,0.1
0.0,0.997458699830735,0.0712470499879096,0.0,0.9333333333333332,0.0666666666666666
0.0,0.9994059993535876,0.0344622758397788,0.0,0.9666666666666668,0.0333333333333333
0.0,1.0,0.0,0.0,1.0,0.0
0.0344622758397788,0.0,0.9994059993535876,0.0333333333333333,0.0,0.9666666666666668
0.035668818750321,0.035668818750321,0.9987269250089904,0.0333333333333333,0.0333333333333333,0.9333333333333332
0.0369106735262781,0.0738213470525562,0.996588185209509,0.0333333333333333,0.0666666666666666,0.9
0.0381801774160606,0.1145405322481818,0.9926846128175764,0.0333333333333333,0.1,0.8666666666666667
0.0394668518981929,0.1578674075927716,0.986671297454823,0.0333333333333333,0.1333333333333333,0.8333333333333334
0.0407569572969611,0.2037847864848055,0.978166975127067,0.0333333333333333,0.1666666666666666,0.8
0.0420331351709198,0.2521988110255191,0.9667621089311568,0.0333333333333333,0.2,0.7666666666666667
0.0432742322407915,0.3029196256855408,0.952033109297414,0.0333333333333333,0.2333333333333333,0.7333333333333333
0.0444554224474387,0.3556433795795096,0.9335638713962128,0.0333333333333333,0.2666666666666666,0.7
0.0455487518674277,0.4099387668068492,0.910975037348554,0.0333333333333333,0.3,0.6666666666666666
0.0465242105199235,0.4652421051992353,0.8839599998785472,0.0333333333333333,0.3333333333333333,0.6333333333333333
0.0473513723810378,0.5208650961914162,0.852324702858681,0.0333333333333333,0.3666666666666666,0.6
0.0480015360737319,0.5760184328847833,0.8160261132534429,0.0333333333333333,0.4,0.5666666666666667
0.0484501583111509,0.629852058044962,0.7752025329784147,0.0333333333333333,0.4333333333333333,0.5333333333333333
0.0486792383511235,0.6815093369157297,0.7301885752668532,0.0333333333333333,0.4666666666666667,0.5
0.0486792383511235,0.7301885752668532,0.6815093369157297,0.0333333333333333,0.5,0.4666666666666667
0.0484501583111509,0.7752025329784147,0.629852058044962,0.0333333333333333,0.5333333333333333,0.4333333333333333
0.0480015360737319,0.8160261132534429,0.5760184328847833,0.0333333333333333,0.5666666666666667,0.4
