f1,f2,f3,w1,w2,w3
0,0,1,0,0,1
0,0.3218297948685432,0.9887630937816502,0,0.03333333333333333,0.9666666666666667
0,0.4054801330382267,0.9772648059188251,0,0.06666666666666667,0.9333333333333333
0,0.4641588833612779,0.9654893846056297,0,0.1,0.9
0,0.5108729549290354,0.9534195019944099,0,0.1333333333333333,0.8666666666666667
0,0.5503212081491045,0.9410360288810286,0,0.1666666666666667,0.8333333333333334
0,0.5848035476425733,0.9283177667225558,0,0.2,0.8
0,0.6156382501492779,0.915241126759053,0,0.2333333333333333,0.7666666666666667
0,0.6436595897370865,0.9017797429984135,0,0.2666666666666667,0.7333333333333333
0,0.6694329500821695,0.8879040017426006,0,0.3,0.7
0,0.6933612743506347,0.8735804647362988,0,0.3333333333333333,0.6666666666666666
0,0.7157430563396471,0.8587711552350661,0,0.3666666666666666,0.6333333333333333
0,0.7368062997280773,0.8434326653017492,0,0.4,0.6
0,0.7567295602164616,0.8275150268708015,0,0.4333333333333333,0.5666666666666667
0,0.7756555904835206,0.8109602660764533,0,0.4666666666666667,0.5333333333333333
0,0.7937005259840998,0.7937005259840998,0,0.5,0.5
0,0.8109602660764533,0.7756555904835206,0,0.5333333333333333,0.4666666666666667
0,0.8275150268708015,0.7567295602164616,0,0.5666666666666667,0.4333333333333333
0,0.8434326653017492,0.7368062997280773,0,0.6,0.4
0,0.8587711552350661,0.7157430563396471,0,0.6333333333333333,0.3666666666666666
0,0.8735804647362988,0.6933612743506347,0,0.6666666666666666,0.3333333333333333
0,0.8879040017426006,0.6694329500821695,0,0.7,0.3
0,0.9017797429984135,0.6436595897370865,0,0.7333333333333333,0.2666666666666667
0,0.915241126759053,0.6156382501492779,0,0.7666666666666667,0.2333333333333333
0,0.9283177667225558,0.5848035476425733,0,0.8,0.2
0,0.9410360288810286,0.5503212081491045,0,0.8333333333333334,0.1666666666666667
0,0.9534195019944099,0.5108729549290354,0,0.8666666666666667,0.1333333333333333
0,0.9654893846056297,0.4641588833612779,0,0.9,0.1
0,0.9772648059188251,0.4054801330382267,0,0.9333333333333333,0.06666666666666667
0,0.9887630937816502,0.3218297948685432,0,0.9666666666666667,0.03333333333333333
0,1,0,0,1,0
0.3218297948685432,0,0.9887630937816502,0.03333333333333333,0,0.9666666666666667
0.3218297948685432,0.3218297948685432,0.9772648059188251,0.03333333333333333,0.03333333333333333,0.9333333333333333
0.3218297948685432,0.4054801330382267,0.9654893846056297,0.03333333333333333,0.06666666666666667,0.9
0.3218297948685432,0.4641588833612779,0.9534195019944099,0.03333333333333333,0.1,0.8666666666666667
0.3218297948685432,0.5108729549290354,0.9410360288810286,0.03333333333333333,0.1333333333333333,0.8333333333333334
0.3218297948685432,0.5503212081491045,0.9283177667225558,0.03333333333333333,0.1666666666666667,0.8
0.3218297948685432,0.5848035476425733,0.915241126759053,0.03333333333333333,0.2,0.7666666666666667
0.3218297948685432,0.6156382501492779,0.9017797429984135,0.03333333333333333,0.2333333333333333,0.7333333333333333
0.3218297948685432,0.6436595897370865,0.8879040017426006,0.03333333333333333,0.2666666666666667,0.7
0.3218297948685432,0.6694329500821695,0.8735804647362988,0.03333333333333333,0.3,0.6666666666666666
0.3218297948685432,0.6933612743506347,0.8587711552350661,0.03333333333333333,0.3333333333333333,0.6333333333333333
