Iteration, w1,w2, f1,f2, MaxRegret
-2,1,0, 0.330123,26.8018, 
-1,0,1, 265.625,2.1695, 
0,0.47922,0.52078, 0.580659,2.42016, 0.478625
1,0.00928575,0.990714, 2.70942,2.28887, 0.00917108
2,0.00447966,0.99552, 1.41933,2.33464, 0.00230525
3,0.37935,0.62065, 0.680512,2.41129, 0.00101551
4,0.998964,0.00103574, 0.340148,33.5611, 0.000941318
5,0.374201,0.625799, 0.617556,2.42205, 6.19728e-05
6,0.468251,0.531749, 0.646795,2.53665, 6.90315e-06
