ID,W_Distance,W_Risk,W_Time,Cost_Distance,Cost_Risk,Cost_Time
0,1,0,0,20.0154,0.959798,10.0077
1,0,1,0,20.3631,0.959532,10.1816
2,0,0,1,24.5904,2.81677,2.21509
3,0,0.53724,0.46276,23.0444,1.30785,2.47647
4,0,0.859547,0.140453,22.7162,1.12519,2.90742
5,0.857246,0,0.142754,20.0489,0.97904,10.0244
6,0,0.856862,0.143138,23.0495,1.12744,2.90905
7,0.80445,0,0.19555,21.1071,1.07807,4.91367
8,0.691356,0.165816,0.142828,20.1254,0.989898,10.0627
9,0.702004,0.160095,0.1379,20.118,0.980975,10.059
10,0,0.101711,0.898289,24.7341,2.00334,2.2635
11,0,0.677276,0.322724,23.4769,1.25337,2.58022
12,0.651697,0,0.348303,21.7,1.28449,3.28521
13,0,0.877403,0.122597,22.5328,1.09396,3.01477
14,0.472065,0,0.527935,21.9518,1.28768,2.84191
15,0,0.923945,0.076055,22.2491,1.057,3.33321
16,0.899373,0,0.100627,20.0441,0.985051,10.0221
17,0,0.113802,0.886198,23.6116,1.87876,2.24265
18,0.905997,0,0.0940032,20.0654,0.980931,10.0327
19,0,0.238221,0.761779,23.3305,1.5472,2.32346
20,0,0.704957,0.295043,22.848,1.17343,2.70046
21,0,0.787204,0.212796,22.8331,1.10932,2.93911
22,0,0.906333,0.0936669,22.4873,1.07481,3.15726
23,0,0.213951,0.786049,23.7009,1.72801,2.27524
