Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
-3,1,0, 0, 20.1717,86.1769, 10.0858, 0
-2,0,1, 0, 53.6036,0.330123, 26.8018, 0
-1,0,0, 1, 25.0371,265.625, 2.16954, 0
0,0,0.30420625.0152,30.5612,12.5076, 0.355969
1,0,0.30355927.9647,75.9443,11.8311, 0.35537
2,0,0.33546624.7431,126.588,12.3715, 0.384903
3,0,0.53111426.5085,6.43341,13.2542, 0.466473
4,0,0.29767724.3998,43.9442,12.1999, 0.349925
5,0,0.30959623.9058,4.24118,11.9529, 0.360959
6,0,0.27057824.4011,72.1816,12.2005, 0.324843
7,0,0.33946326.0043,24.1195,13.0022, 0.388603
8,0,0.30773829.5434,3.72748,14.7717, 0.359239
9,0,0.32290124.1456,67.9099,12.0728, 0.373274
10,0,0.33173524.6247,37.1536,12.3124, 0.38145
11,0,0.30554530.8823,2.47282,15.4411, 0.357209
12,0,0.33325727.3472,4.78611,13.6736, 0.382859
13,0,0.30415628.9806,33.4055,13.0503, 0.355923
14,0,0.31711327.7969,79.2985,6.92111, 0.367916
15,0,0.29767723.1693,73.5055,11.5846, 0.318077
16,0,0.29767726.3859,4.57014,13.193, 0.318077
17,0,0.29767728.7129,39.236,5.18829, 0.318077
18,0,0.29502732.1466,2.99872,16.0733, 0.315908
19,0,0.29767726.378,122.303,13.189, 0.318077
