ID,W_Distance,W_Risk,W_Time,Cost_Distance,Cost_Risk,Cost_Time
0,1,0,0,20.1936,49.5278,10.0968
1,0,1,0,43.9008,2.97585,21.9504
2,0,0,1,25.3565,101.833,2.2156
3,0,0.541557,0.458443,31.2642,3.19852,2.57025
4,0.643383,0.356617,0,20.9576,6.52553,10.4788
5,0.615443,0.208259,0.176297,20.9878,6.82187,10.4939
6,0,0.0164071,0.983593,27.4772,4.84613,2.28449
7,0.409935,0.138718,0.451347,26.5373,6.53709,3.24552
8,0.441116,0.302667,0.256217,27.1344,4.72052,2.96831
9,0.437858,0.304432,0.25771,26.0121,4.73427,3.10592
10,0.365083,0.436614,0.198303,26.4512,4.32855,2.95899
11,0.71005,0.157024,0.132926,20.8589,7.1764,10.4294
12,0.743524,0.138897,0.11758,21.0296,7.23813,10.5148
13,0.691657,0.0336522,0.274691,21.1965,9.61002,10.5982
14,0.511901,0.173222,0.314878,26.4388,5.66626,3.03228
15,0.445638,0.300218,0.254143,25.6706,4.67191,2.59506
16,0.438763,0.303942,0.257295,25.1392,5.01104,2.96575
17,0.75327,0,0.24673,20.3488,19.195,10.1744
18,0.683988,0.074291,0.241721,20.7276,6.88508,10.3638
19,0.760072,0.129935,0.109993,20.7507,7.05829,10.3754
20,0.773938,0.122425,0.103637,21.1605,6.81555,10.5802
21,0.667037,0.0782759,0.254687,20.5107,9.93071,10.2553
22,0.447655,0.299126,0.253219,25.6618,4.53522,2.65146
23,0.433877,0.306588,0.259535,25.669,4.55436,2.78265
24,0.652835,0.0816147,0.26555,20.5506,9.42058,10.2753
25,0.647448,0.0828811,0.269671,20.6854,8.50162,10.3427
26,0.758595,0.130734,0.11067,20.7281,7.63608,10.364
27,0.653905,0.0813631,0.264732,20.7299,7.38808,10.3649
28,0.648531,0.0826266,0.268843,20.6131,7.44285,10.3065
