ID,Weights
175,0.2;0.133333;0.666667
176,0.2;0.166667;0.633333
177,0.2;0.2;0.6
178,0.2;0.233333;0.566667
179,0.2;0.266667;0.533333
180,0.2;0.3;0.5
181,0.2;0.333333;0.466667
182,0.2;0.366667;0.433333
183,0.2;0.4;0.4
184,0.2;0.433333;0.366667
185,0.2;0.466667;0.333333
186,0.2;0.5;0.3
187,0.2;0.533333;0.266667
188,0.2;0.566667;0.233333
189,0.2;0.6;0.2
190,0.2;0.633333;0.166667
191,0.2;0.666667;0.133333
192,0.2;0.7;0.1
193,0.2;0.733333;0.0666667
194,0.2;0.766667;0.0333333
195,0.2;0.8;0
196,0.233333;0;0.766667
197,0.233333;0.0333333;0.733333
198,0.233333;0.0666667;0.7
199,0.233333;0.1;0.666667
200,0.233333;0.133333;0.633333
201,0.233333;0.166667;0.6
202,0.233333;0.2;0.566667
203,0.233333;0.233333;0.533333
204,0.233333;0.266667;0.5
205,0.233333;0.3;0.466667
206,0.233333;0.333333;0.433333
207,0.233333;0.366667;0.4
208,0.233333;0.4;0.366667
209,0.233333;0.433333;0.333333
210,0.233333;0.466667;0.3
211,0.233333;0.5;0.266667
212,0.233333;0.533333;0.233333
213,0.233333;0.566667;0.2
214,0.233333;0.6;0.166667
215,0.233333;0.633333;0.133333
216,0.233333;0.666667;0.1
217,0.233333;0.7;0.0666667
218,0.233333;0.733333;0.0333333
219,0.233333;0.766667;0
220,0.266667;0;0.733333
221,0.266667;0.0333333;0.7
222,0.266667;0.0666667;0.666667
223,0.266667;0.1;0.633333
224,0.266667;0.133333;0.6
225,0.266667;0.166667;0.566667
226,0.266667;0.2;0.533333
227,0.266667;0.233333;0.5
228,0.266667;0.266667;0.466667
229,0.266667;0.3;0.433333
230,0.266667;0.333333;0.4
231,0.266667;0.366667;0.366667
232,0.266667;0.4;0.333333
233,0.266667;0.433333;0.3
234,0.266667;0.466667;0.266667
235,0.266667;0.5;0.233333
236,0.266667;0.533333;0.2
237,0.266667;0.566667;0.166667
238,0.266667;0.6;0.133333
239,0.266667;0.633333;0.1
240,0.266667;0.666667;0.0666667
241,0.266667;0.7;0.0333333
242,0.266667;0.733333;0
243,0.3;0;0.7
244,0.3;0.0333333;0.666667
245,0.3;0.0666667;0.633333
246,0.3;0.1;0.6
247,0.3;0.133333;0.566667
248,0.3;0.166667;0.533333
249,0.3;0.2;0.5
250,0.3;0.233333;0.466667
251,0.3;0.266667;0.433333
252,0.3;0.3;0.4
253,0.3;0.333333;0.366667
254,0.3;0.366667;0.333333
255,0.3;0.4;0.3
256,0.3;0.433333;0.266667
257,0.3;0.466667;0.233333
258,0.3;0.5;0.2
259,0.3;0.533333;0.166667
260,0.3;0.566667;0.133333
261,0.3;0.6;0.1
262,0.3;0.633333;0.0666667
263,0.3;0.666667;0.0333333
264,0.3;0.7;0
265,0.333333;0;0.666667
266,0.333333;0.0333333;0.633333
267,0.333333;0.0666667;0.6
268,0.333333;0.1;0.566667
269,0.333333;0.133333;0.533333
270,0.333333;0.166667;0.5
