Iteration, w1,w2,w3, f1,f2,f3, MaxRegret
79,0.570264,0.235838,0.193898, 20.9031,2.56361,10.4515, 0.154507
80,0.571135,0.236199,0.192666, 20.908,2.54577,10.454, 0.153526
81,0.571566,0.236377,0.192057, 20.8743,2.64178,10.4371, 0.15304
82,0.569323,0.235449,0.195228, 20.8766,2.63428,10.4383, 0.155567
83,0.569492,0.235519,0.194989, 20.8644,2.66246,10.4322, 0.155377
84,0.568863,0.235259,0.195877, 20.8804,2.6205,10.4402, 0.156085
85,0.569805,0.235648,0.194547, 20.8606,2.67323,10.4303, 0.155024
86,0.568627,0.235161,0.196212, 20.8769,2.63028,10.4385, 0.156351
87,0.569582,0.235556,0.194861, 20.8904,2.59519,10.4452, 0.155275
88,0.570389,0.23589,0.193721, 20.9063,2.55169,10.4531, 0.154366
89,0.571422,0.236317,0.19226, 20.9229,2.5104,10.4615, 0.153202
90,0.57192,0.236523,0.191557, 20.8969,2.5736,10.4484, 0.152131
91,0.570897,0.2361,0.193003, 20.8938,2.5807,10.4469, 0.153794
92,0.570729,0.236031,0.193241, 20.8998,2.56805,10.4499, 0.153983
93,0.571029,0.236155,0.192816, 20.9093,2.53954,10.4547, 0.153645
94,0.571718,0.23644,0.191842, 20.8798,2.62517,10.4399, 0.152869
95,0.569698,0.235604,0.194698, 20.8671,2.6555,10.4335, 0.155144
96,0.569017,0.235323,0.19566, 20.8708,2.64231,10.4354, 0.155911
97,0.569311,0.235444,0.195244, 20.8681,2.65457,10.4341, 0.15558
98,0.569038,0.235331,0.195631, 20.9043,2.55742,10.4521, 0.155888
99,0.571284,0.23626,0.192456, 20.8647,2.66267,10.4323, 0.153358
100,0.568859,0.235257,0.195884, 20.8314,2.7705,10.4157, 0.15609
101,0.566584,0.234316,0.1991, 20.8847,2.61519,10.4423, 0.158652
102,0.569926,0.235699,0.194375, 20.8928,2.592,10.4464, 0.154888
103,0.570463,0.235921,0.193616, 20.8608,2.67512,10.4304, 0.154283
104,0.568586,0.235144,0.19627, 20.884,2.61069,10.442, 0.156397
105,0.570029,0.235741,0.194229, 20.8694,2.64985,10.4347, 0.154771
106,0.569143,0.235375,0.195482, 20.8992,2.57518,10.4496, 0.15577
107,0.570859,0.236085,0.193056, 20.8795,2.6236,10.4397, 0.153836
108,0.569734,0.235619,0.194647, 20.8946,2.57811,10.4473, 0.155104
109,0.57079,0.236056,0.193154, 20.9472,2.44947,10.4736, 0.153915
110,0.568145,0.234962,0.196893, 20.8914,2.58847,10.4457, 0.151127
111,0.570546,0.235955,0.193499, 20.8467,2.72105,10.4234, 0.154189
112,0.567603,0.234738,0.19766, 20.8844,2.6111,10.4422, 0.157505
113,0.57002,0.235738,0.194242, 20.9186,2.51781,10.4593, 0.154782
114,0.572255,0.236662,0.191083, 20.9125,2.53445,10.4563, 0.152264
115,0.571843,0.236491,0.191666, 20.8872,2.60014,10.4436, 0.152728
116,0.570273,0.235842,0.193884, 20.8707,2.65031,10.4354, 0.154496
117,0.569132,0.23537,0.195497, 20.85,2.70835,10.425, 0.155782
118,0.567871,0.234849,0.197281, 20.9073,2.54491,10.4537, 0.157203
119,0.571587,0.236386,0.192027, 20.8824,2.61204,10.4412, 0.153017
120,0.569998,0.235729,0.194273, 20.9136,2.53111,10.4568, 0.154806
121,0.571925,0.236525,0.191549, 20.908,2.54581,10.454, 0.152636
122,0.571565,0.236376,0.192058, 20.9073,2.5442,10.4536, 0.153041
123,0.571604,0.236393,0.192003, 20.9085,2.54518,10.4543, 0.152997
124,0.57158,0.236383,0.192037, 20.8642,2.66977,10.4321, 0.153024
125,0.568703,0.235193,0.196105, 20.8482,2.72069,10.4241, 0.156266
126,0.56761,0.234741,0.197649, 20.8388,2.74944,10.4194, 0.157496
127,0.567013,0.234494,0.198493, 20.8813,2.61461,10.4406, 0.158169
128,0.569939,0.235704,0.194356, 20.859,2.67712,10.4295, 0.154872
129,0.568542,0.235126,0.196332, 20.8686,2.65604,10.4343, 0.156446
130,0.569005,0.235318,0.195677, 20.9252,2.5065,10.4626, 0.155925
131,0.571686,0.236427,0.191887, 20.8633,2.66927,10.4316, 0.152069
132,0.568714,0.235197,0.196089, 20.8702,2.6458,10.4351, 0.156253
133,0.569233,0.235412,0.195355, 20.8708,2.64907,10.4354, 0.155668
134,0.56916,0.235382,0.195458, 20.9231,2.50613,10.4615, 0.15575
135,0.571633,0.236405,0.191962, 20.8681,2.65386,10.4341, 0.152055
136,0.569054,0.235338,0.195609, 20.8617,2.67585,10.4309, 0.15587
137,0.56857,0.235138,0.196292, 20.8919,2.58666,10.4459, 0.156415
138,0.570588,0.235973,0.193439, 20.8744,2.63526,10.4372, 0.154142
139,0.56947,0.23551,0.19502, 20.8808,2.61696,10.4404, 0.155402
140,0.569885,0.235682,0.194433, 20.9017,2.56287,10.4508, 0.154933
141,0.571153,0.236206,0.192641, 20.8878,2.60336,10.4439, 0.153506
142,0.570199,0.235811,0.19399, 20.9168,2.52478,10.4584, 0.15458
143,0.572081,0.23659,0.191328, 20.8909,2.58848,10.4454, 0.15246
144,0.570546,0.235955,0.1935, 20.8855,2.60773,10.4428, 0.15419
145,0.570098,0.23577,0.194133, 20.8405,2.73275,10.4203, 0.154694
146,0.567358,0.234637,0.198006, 20.8565,2.69004,10.4282, 0.15778
147,0.568262,0.235011,0.196727, 20.8733,2.64452,10.4366, 0.156762
148,0.569262,0.235424,0.195314, 20.9316,2.48092,10.4658, 0.155636
149,0.570048,0.235749,0.194203, 20.8486,2.71526,10.4243, 0.151633
150,0.567724,0.234788,0.197487, 20.8925,2.59585,10.4462, 0.157367
151,0.570373,0.235884,0.193743, 20.8853,2.60499,10.4426, 0.154384
152,0.570161,0.235796,0.194043, 20.8361,2.74605,10.418, 0.154623
153,0.567082,0.234523,0.198395, 20.8803,2.62724,10.4402, 0.15809
154,0.569651,0.235585,0.194764, 20.9218,2.51132,10.4609, 0.155197
155,0.571968,0.236543,0.191489, 20.8593,2.67573,10.4296, 0.152144
156,0.568572,0.235139,0.196289, 20.8874,2.60074,10.4437, 0.156412
157,0.570259,0.235836,0.193904, 20.8718,2.65744,10.4359, 0.154512
158,0.568974,0.235305,0.195721, 20.8219,2.79718,10.411, 0.15596
159,0.566051,0.234096,0.199853, 20.8789,2.62496,10.4395, 0.159253
160,0.569703,0.235606,0.194691, 20.8872,2.60507,10.4436, 0.155139
161,0.570159,0.235795,0.194046, 20.8558,2.68914,10.4279, 0.154625
162,0.568282,0.235019,0.1967, 20.9136,2.5415,10.4568, 0.15674
163,0.57167,0.23642,0.19191, 20.8485,2.71713,10.4242, 0.152923
164,0.567685,0.234772,0.197543, 20.9195,2.519,10.4598, 0.157412
165,0.572224,0.236649,0.191127, 20.8522,2.70822,10.4261, 0.152297
166,0.567873,0.23485,0.197277, 20.8823,2.61859,10.4411, 0.1572
167,0.569848,0.235666,0.194485, 20.8509,2.71635,10.4254, 0.154975
168,0.567701,0.234779,0.19752, 20.8539,2.689,10.427, 0.157393
169,0.568285,0.23502,0.196695, 20.8531,2.70355,10.4265, 0.156736
170,0.567973,0.234891,0.197136, 20.8791,2.62231,10.4396, 0.157088
171,0.569763,0.235631,0.194606, 20.8964,2.58084,10.4482, 0.155071
172,0.570725,0.236029,0.193246, 20.8801,2.63418,10.44, 0.153987
173,0.569494,0.23552,0.194986, 20.8749,2.63597,10.4374, 0.155374
174,0.569454,0.235503,0.195043, 20.863,2.66822,10.4315, 0.15542
175,0.568737,0.235207,0.196056, 20.8604,2.69056,10.4302, 0.156227
176,0.568251,0.235006,0.196743, 20.9175,2.52167,10.4588, 0.156774
177,0.572159,0.236622,0.191219, 20.8849,2.60948,10.4425, 0.152373
178,0.570057,0.235753,0.19419, 20.885,2.60447,10.4425, 0.15474
179,0.570173,0.235801,0.194026, 20.885,2.61383,10.4425, 0.154609
180,0.569957,0.235712,0.194331, 20.838,2.74134,10.419, 0.154852
181,0.56718,0.234563,0.198258, 20.8671,2.65753,10.4336, 0.157981
182,0.568972,0.235304,0.195724, 20.9024,2.55896,10.4512, 0.155962
183,0.571247,0.236245,0.192508, 20.8726,2.64758,10.4363, 0.1534
184,0.569193,0.235396,0.195411, 20.8501,2.70681,10.4251, 0.155713
185,0.567903,0.234862,0.197235, 20.8881,2.60244,10.4441, 0.157166
186,0.57022,0.23582,0.19396, 20.8772,2.62931,10.4386, 0.154557
187,0.569604,0.235566,0.19483, 20.8563,2.69517,10.4281, 0.15525
188,0.568152,0.234965,0.196883, 20.8772,2.63375,10.4386, 0.156886
189,0.569504,0.235524,0.194972, 20.8476,2.71091,10.4238, 0.155363
190,0.567816,0.234826,0.197357, 20.912,2.53298,10.456, 0.157264
191,0.571879,0.236506,0.191615, 20.8561,2.69491,10.428, 0.152688
192,0.568157,0.234967,0.196875, 20.8692,2.65286,10.4346, 0.15688
193,0.569076,0.235347,0.195577, 20.8874,2.6109,10.4437, 0.155845
194,0.570025,0.235739,0.194236, 20.8865,2.60961,10.4433, 0.154777
195,0.570054,0.235752,0.194194, 20.8746,2.64083,10.4373, 0.154743
196,0.569344,0.235458,0.195197, 20.8573,2.69354,10.4286, 0.155543
197,0.568187,0.234979,0.196834, 20.9053,2.54849,10.4527, 0.156847
198,0.5715,0.23635,0.19215, 20.8989,2.56756,10.4495, 0.153115
199,0.571041,0.23616,0.1928, 20.8911,2.59056,10.4456, 0.153632
200,0.570497,0.235935,0.193569, 20.9243,2.49952,10.4621, 0.154245
201,0.571204,0.236227,0.192569, 20.8384,2.73831,10.4192, 0.15194
202,0.567242,0.234589,0.198169, 20.8673,2.65897,10.4336, 0.15791
203,0.56894,0.235291,0.195769, 20.7953,2.89969,10.3977, 0.155998
204,0.564102,0.23329,0.202607, 20.8614,2.67319,10.4307, 0.161447
205,0.568628,0.235162,0.19621, 20.8767,2.63112,10.4383, 0.15635
206,0.569563,0.235549,0.194888, 20.8818,2.62605,10.4409, 0.155296
207,0.569678,0.235596,0.194726, 20.8866,2.60409,10.4433, 0.155167
208,0.570182,0.235804,0.194014, 20.8755,2.6389,10.4377, 0.1546
209,0.569388,0.235476,0.195136, 20.8845,2.60662,10.4422, 0.155494
210,0.570123,0.23578,0.194097, 20.9074,2.548,10.4537, 0.154665
211,0.571512,0.236354,0.192134, 20.892,2.58778,10.446, 0.153101
212,0.570562,0.235962,0.193476, 20.8716,2.64502,10.4358, 0.154171
213,0.569251,0.235419,0.19533, 20.8832,2.61461,10.4416, 0.155648
214,0.569939,0.235704,0.194357, 20.8572,2.68417,10.4286, 0.154873
215,0.568389,0.235063,0.196548, 20.8687,2.65101,10.4343, 0.156619
216,0.569117,0.235364,0.195519, 20.8544,2.69687,10.4272, 0.155799
217,0.568115,0.23495,0.196935, 20.8476,2.71177,10.4238, 0.156927
218,0.567798,0.234819,0.197383, 20.8747,2.63594,10.4373, 0.157284
219,0.569454,0.235504,0.195042, 20.864,2.67144,10.432, 0.155419
220,0.568666,0.235178,0.196156, 20.8945,2.57655,10.4472, 0.156307
221,0.570827,0.236071,0.193102, 20.9094,2.54274,10.4547, 0.153873
222,0.57164,0.236407,0.191953, 20.8923,2.5891,10.4462, 0.152957
223,0.570531,0.235949,0.19352, 20.8349,2.75556,10.4174, 0.154206
