ID,W_Distance,W_Risk,W_Time,Cost_Distance,Cost_Risk,Cost_Time
0,1,0,0,20.1494,101.356,10.0747
1,0,1,0,31.6239,1.7663,15.8119
2,0,0,1,25.4269,143.952,2.21921
3,0,0.465335,0.534665,30.5698,3.00685,2.51698
4,0.674628,0.325372,0,21.23,3.24321,10.615
5,0.635089,0.169806,0.195105,20.9483,3.68861,10.4742
6,0,0.0188706,0.981129,27.4825,5.38941,2.24464
7,0.481796,0.241138,0.277066,20.979,4.4926,10.4895
8,0.47135,0.245999,0.282651,21.3079,3.43116,10.6539
9,0.705674,0.0358999,0.258426,20.6079,8.50038,10.3039
10,0.391393,0.384134,0.224474,21.5509,3.4411,10.7755
11,0.534923,0.143024,0.322054,20.9992,4.44125,10.4996
12,0.95226,0.0477402,0,20.6485,12.6931,10.3242
13,0,0.971503,0.0284971,25.3968,2.01864,12.6984
14,0,0.509955,0.490045,31.0881,2.93033,2.70203
15,0,0.401973,0.598027,32.1966,3.41463,2.40772
16,0.485633,0.239353,0.275014,21.1808,4.04732,10.5904
17,0.474996,0.244302,0.280701,21.1755,3.89447,10.5877
18,0.748553,0,0.251447,20.5139,90.0639,10.2569
19,0.490761,0.131216,0.378022,26.1122,4.16678,2.91752
20,0.48604,0.129954,0.384006,25.1598,7.69721,2.74118
21,0.38919,0.384591,0.226219,21.2142,3.62659,10.6071
